NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Alex Caruso	SG	23	'+185	A	CHI	MIA	26th	3ptm	0.5	0.8	0.91 - 0.74	0.72 - 0.94	59%	67%	60%	1,0,1,0,1,2,1,1,1,1	64%	-185	'+150
Alex Caruso	SG	23	'+185	A	CHI	MIA	15th	stl+blk	1.5	2.2	2.41 - 2.0	2.0 - 2.44	57%	47%	60%	6,2,1,1,5,3,1,1,0,2	45%	-175	'+140
Alex Caruso	SG	23	'+185	A	CHI	MIA	9th	blk	0.5	0.7	0.85 - 0.59	0.67 - 0.78	51%	60%	100%	3,2,1,1,2,2,0,0,0,1	30%	-115	-115
Alex Caruso	SG	23	'+185	A	CHI	MIA	8th	reb	2.5	2.9	2.68 - 3.18	3.28 - 2.53	51%	40%	40%	3,1,1,5,1,4,2,5,0,0	55%	-175	'+140
Alex Caruso	SG	23	'+185	A	CHI	MIA	29th	ast	2.5	2.9	2.62 - 3.12	2.72 - 3.03	50%	20%	0%	2,2,1,1,2,3,3,1,1,2	70%	'+140	-175
Alex Caruso	SG	23	'+185	A	CHI	MIA	19th	stl	1.5	1.5	1.56 - 1.41	1.33 - 1.66	43%	27%	40%	3,0,0,0,3,1,1,1,0,1	34%	'+150	-185
Alex Caruso	SG	23	'+185	A	CHI	MIA	8th	pts	6.5	5.6	6.03 - 5.24	5.44 - 5.84	35%	40%	40%	9,2,7,0,5,10,5,7,6,5	43%	-110	-120
Anthony Edwards	SG	36	-215	H	MIN	OKC	24th	ast	4.5	4.5	4.9 - 4.03	4.13 - 4.78	51%	47%	40%	5,4,3,6,3,6,7,3,1,7	36%	-150	'+120
Anthony Edwards	SG	36	-215	H	MIN	OKC	29th	blk	0.5	0.8	0.79 - 0.78	0.87 - 0.7	49%	47%	60%	3,4,2,0,0,1,0,0,0,0	47%	-190	'+155
Anthony Edwards	SG	36	-215	H	MIN	OKC	24th	3ptm	2.5	2.6	2.79 - 2.5	2.51 - 2.77	49%	47%	40%	0,3,2,3,2,3,1,2,2,5	62%	-140	'+110
Anthony Edwards	SG	36	-215	H	MIN	OKC	15th	stl	1.5	1.6	1.64 - 1.5	1.36 - 1.77	44%	20%	20%	1,4,1,1,1,1,0,1,0,0	41%	'+105	-135
Anthony Edwards	SG	36	-215	H	MIN	OKC	26th	pts+reb+ast	38.5	34.6	36.38 - 32.9	32.33 - 36.85	42%	47%	40%	22,43,31,48,18,37,29,20,9,45	19%	-115	-115
Anthony Edwards	SG	36	-215	H	MIN	OKC	24th	pts+ast	32.5	28.8	29.97 - 27.62	26.87 - 30.65	42%	47%	20%	14,30,26,43,14,37,24,16,9,35	22%	-105	-125
Anthony Edwards	SG	36	-215	H	MIN	OKC	22nd	stl+blk	2.5	2.4	2.44 - 2.27	2.23 - 2.48	41%	40%	60%	4,8,3,1,1,2,0,1,0,0	37%	'+100	-130
Anthony Edwards	SG	36	-215	H	MIN	OKC	22nd	pts	27.5	24.3	25.08 - 23.6	22.74 - 25.88	41%	40%	20%	9,26,23,37,11,31,17,13,8,28	25%	'+105	-135
Anthony Edwards	SG	36	-215	H	MIN	OKC	24th	pts+reb	33.5	30.2	31.49 - 28.88	28.21 - 32.08	39%	40%	40%	17,39,28,42,15,31,22,17,8,38	25%	-115	-115
Anthony Edwards	SG	36	-215	H	MIN	OKC	21st	reb	6.5	5.8	6.41 - 5.28	5.46 - 6.2	37%	33%	40%	8,13,5,5,4,0,5,4,0,10	29%	'+110	-140
Anthony Edwards	SG	36	-215	H	MIN	OKC	28th	reb+ast	11.5	10.3	11.31 - 9.3	9.59 - 10.97	37%	40%	40%	13,17,8,11,7,6,12,7,1,17	21%	'+105	-135
Bam Adebayo	C	34	-215	H	MIA	CHI	11th	ast	2.5	3.2	2.9 - 3.56	3.38 - 3.05	64%	67%	40%	4,1,1,2,4,4,2,3,5,4	61%	-150	'+120
Bam Adebayo	C	34	-215	H	MIA	CHI	14th	stl+blk	1.5	2.0	1.98 - 2.08	2.11 - 1.95	63%	67%	40%	5,1,0,2,1,1,2,2,3,2	59%	-190	'+155
Bam Adebayo	C	34	-215	H	MIA	CHI	10th	pts+ast	21.5	23.5	24.62 - 22.22	24.08 - 22.92	62%	33%	0%	16,5,15,20,13,25,18,18,27,27	58%	-135	'+105
Bam Adebayo	C	34	-215	H	MIA	CHI	17th	blk	0.5	0.8	0.75 - 0.92	0.81 - 0.85	55%	47%	20%	2,0,0,0,0,0,1,1,3,0	49%	-190	'+155
Bam Adebayo	C	34	-215	H	MIA	CHI	6th	pts+reb+ast	31.5	32.7	34.58 - 30.56	33.51 - 31.87	55%	27%	0%	25,8,23,24,24,37,25,25,37,34	57%	-120	-110
Bam Adebayo	C	34	-215	H	MIA	CHI	13th	pts	18.5	20.3	21.73 - 18.67	20.7 - 19.87	54%	33%	0%	12,4,14,18,9,21,16,15,22,23	54%	-135	'+105
Bam Adebayo	C	34	-215	H	MIA	CHI	4th	pts+reb	28.5	29.5	31.68 - 27.0	30.14 - 28.82	51%	27%	0%	21,7,22,22,20,33,23,22,32,30	55%	-110	-120
