NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jarred Vanderbilt	PF	24	-190	H	LAL	MEM	16th	pts+reb	11.5	15.1	14.78 - 15.58	16.41 - 13.95	72%	47%	40%	15,8,3,16,4,14,8,6,17,15	69%	-105	-125
Giannis Antetokounmpo	PF	31	-200	A	MIL	MIA	8th	pts+reb	37.5	42.4	44.21 - 37.29	41.32 - 43.36	70%	60%	60%	9,39,47,31,55,40,30,45,35,34	57%	-120	-110
Dangelo Russell	PG	32	-190	H	LAL	MEM	11th	pts+reb	18.5	20.5	20.32 - 20.76	19.61 - 21.24	64%	60%	60%	12,23,5,19,27,18,9,13,21,27	65%	-120	-110
Anthony Davis	PF	34	-190	H	LAL	MEM	16th	pts+reb	35.5	38.1	41.06 - 34.38	40.37 - 36.22	59%	47%	20%	22,34,39,29,35,28,35,49,55,48	24%	-120	-110
Royce Oneale	PF	31	'+105	H	BKN	PHI	18th	pts+reb	12.5	13.8	15.0 - 12.35	13.79 - 13.72	56%	40%	40%	13,12,7,11,22,14,6,9,14,11	44%	-115	-115
Grayson Allen	SG	27	-200	A	MIL	MIA	5th	pts+reb	12.5	13.8	14.26 - 12.45	12.74 - 14.69	55%	47%	40%	18,14,7,4,5,9,17,29,11,4	57%	-105	-125
Brook Lopez	C	30	-200	A	MIL	MIA	2nd	pts+reb	20.5	22.5	24.22 - 18.0	23.46 - 21.61	54%	67%	60%	29,14,33,20,27,13,29,38,15,31	45%	-125	-105
Deandre Ayton	C	30	'+250	A	PHX	LAC	23rd	pts+reb	26.5	27.8	27.89 - 27.69	27.8 - 27.8	53%	33%	40%	23,27,26,21,30,30,18,13,22,23	56%	-110	-120
Jrue Holiday	PG	32	-200	A	MIL	MIA	6th	pts+reb	22.5	24.1	24.61 - 22.61	23.66 - 24.46	52%	47%	80%	29,23,28,35,21,12,59,11,21,9	42%	-120	-110
Chris Paul	PG	32	'+250	A	PHX	LAC	16th	pts+reb	18.5	18.1	18.97 - 17.07	18.33 - 17.97	52%	53%	60%	17,20,18,31,24,19,11,22,12,18	51%	-125	-105
