NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Mason Plumlee	C	25	'+575	A	LAC	PHX	17th	reb+ast	7.5	11.8	10.46 - 12.5	11.65 - 11.97	82%	33%	40%	9,6,2,13,7,3,6,6,7,7	85%	-110	-120
Onyeka Okongwu	PF	22	'+625	A	ATL	BOS	11th	reb+ast	7.5	8.1	8.0 - 8.21	8.21 - 8.0	56%	47%	20%	4,6,10,5,7,11,8,9,7,5	44%	'+115	-145
Malcolm Brogdon	PG	26	-900	H	BOS	ATL	9th	reb+ast	7.5	7.9	8.33 - 7.09	7.97 - 7.91	55%	60%	60%	8,6,15,7,8,7,10,8,5,14	57%	-145	'+115
Aaron Gordon	PF	30	-450	H	DEN	MIN	12th	reb+ast	9.5	9.6	9.23 - 10.26	9.78 - 9.38	54%	47%	60%	10,7,13,6,13,17,14,10,6,8	30%	-105	-125
Jaylen Brown	SG	36	-900	H	BOS	ATL	24th	reb+ast	9.5	10.2	10.12 - 10.27	10.26 - 10.08	54%	53%	40%	7,4,5,15,16,6,10,7,16,11	57%	'+100	-130
Karl Anthony Towns	C	33	'+360	A	MIN	DEN	6th	reb+ast	12.5	12.9	13.19 - 12.56	13.06 - 12.67	53%	33%	60%	13,8,14,12,14,16,10,19,12,11	58%	'+100	-130
Ivica Zubac	C	28	'+575	A	LAC	PHX	17th	reb+ast	9.5	10.9	11.42 - 10.28	11.03 - 10.77	53%	47%	40%	10,8,6,15,8,14,6,15,7,8	70%	-125	-105
Nikola Jokic	C	33	-450	H	DEN	MIN	20th	reb+ast	20.5	21.6	23.14 - 17.76	19.09 - 23.92	50%	33%	20%	17,23,18,20,14,29,17,19,27,18	51%	-120	-110
Marcus Smart	PG	32	-900	H	BOS	ATL	9th	reb+ast	9.5	9.5	9.67 - 9.05	9.23 - 9.8	49%	27%	60%	8,11,11,14,8,4,12,5,7,6	58%	-105	-125
Clint Capela	C	26	'+625	A	ATL	BOS	13th	reb+ast	11.5	11.8	12.24 - 11.39	11.3 - 12.32	49%	47%	20%	7,11,7,8,22,5,8,14,12,6	60%	-120	-110
Mike Conley	PG	30	'+360	A	MIN	DEN	20th	reb+ast	9.5	9.3	9.49 - 9.19	9.49 - 9.15	49%	33%	20%	10,7,8,7,6,8,9,2,10,10	37%	-120	-110
Deandre Ayton	C	30	-800	H	PHX	LAC	19th	reb+ast	11.5	11.7	12.15 - 11.06	11.67 - 11.66	48%	33%	40%	14,11,13,8,7,12,11,11,3,8	53%	-130	'+100
Jamal Murray	PG	33	-450	H	DEN	MIN	21st	reb+ast	10.5	10.3	10.85 - 9.14	10.03 - 10.5	47%	67%	60%	12,15,8,16,4,11,11,12,15,14	0%	-125	-105
Anthony Edwards	SG	36	'+360	A	MIN	DEN	3rd	reb+ast	10.5	10.3	11.41 - 9.23	9.44 - 11.12	44%	53%	60%	11,12,6,7,16,13,17,8,11,7	30%	-125	-105
Devin Booker	SG	35	-800	H	PHX	LAC	7th	reb+ast	10.5	10.0	10.32 - 9.5	10.48 - 9.63	44%	33%	20%	16,9,10,4,9,10,15,8,8,12	37%	-130	'+100
Jayson Tatum	SF	37	-900	H	BOS	ATL	20th	reb+ast	14.5	13.4	13.25 - 13.78	13.68 - 13.13	41%	20%	40%	11,15,16,13,7,12,14,9,14,9	26%	-105	-125
Michael Porter Jr	SF	29	-450	H	DEN	MIN	19th	reb+ast	7.5	6.7	7.2 - 5.71	6.53 - 6.91	37%	47%	60%	7,11,6,13,8,11,4,6,7,9	75%	-125	-105
Derrick White	PG	28	-900	H	BOS	ATL	9th	reb+ast	8.5	7.5	7.75 - 6.92	7.07 - 7.93	37%	53%	40%	4,6,9,12,1,16,6,11,4,5	39%	-120	-110
Chris Paul	PG	32	-800	H	PHX	LAC	23rd	reb+ast	14.5	13.3	13.61 - 12.78	13.74 - 12.78	37%	27%	20%	13,13,12,21,8,5,11,19,9,13	40%	'+105	-135
Trae Young	PG	34	'+625	A	ATL	BOS	5th	reb+ast	14.5	13.2	13.2 - 13.11	12.1 - 14.21	36%	47%	60%	18,15,9,11,15,23,18,15,6,11	36%	'+100	-130
Al Horford	C	30	-900	H	BOS	ATL	10th	reb+ast	9.5	9.3	9.55 - 8.55	8.93 - 9.51	36%	40%	40%	16,7,7,11,8,14,7,7,13,13	67%	-110	-120
Rudy Gobert	C	30	'+360	A	MIN	DEN	6th	reb+ast	14.5	12.8	13.26 - 12.44	13.49 - 12.16	34%	40%	20%	16,13,12,13,12,3,14,18,12,17	48%	-105	-125
Kevin Durant	PF	36	-800	H	PHX	LAC	18th	reb+ast	12.5	11.9	12.22 - 11.07	11.78 - 12.04	33%	27%	40%	17,11,11,20,11,7,10,6,12,10	57%	-130	'+100
Russell Westbrook	PG	29	'+575	A	LAC	PHX	3rd	reb+ast	16.5	13.4	14.64 - 12.32	13.61 - 13.25	26%	20%	40%	10,20,10,19,16,7,12,15,14,15	19%	-115	-115
