NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Onyeka Okongwu	PF	23	'+210	H	ATL	BOS	19th	reb	5.5	7.1	6.86 - 7.41	7.19 - 7.07	69%	73%	40%	5,9,5,4,9,8,6,6,5,6	60%	-155	'+125
Jalen Johnson	SF	14	'+210	H	ATL	BOS	3rd	reb	2.5	4.1	4.05 - 4.14	4.37 - 3.8	67%	87%	80%	1,3,6,7,3,5,8,4,4,8	46%	-175	'+140
Keegan Murray	SF	29	'+270	A	SAC	GS	14th	reb	3.5	4.6	4.73 - 4.44	5.21 - 4.0	64%	80%	80%	5,3,4,5,4,9,6,4,3,5	0%	'+110	-140
Stephen Curry	PG	34	-325	H	GS	SAC	14th	reb	5.5	6.0	6.1 - 5.96	6.41 - 5.59	63%	60%	60%	6,3,6,5,7,5,3,2,8,6	41%	-115	-115
Julius Randle	PF	35	-140	H	NY	CLE	11th	reb	8.5	9.9	9.8 - 10.06	10.2 - 9.62	62%	33%	20%	8,8,10,5,4,9,6,4,7,10	64%	'+110	-140
Bruce Brown	SF	28	-180	A	DEN	MIN	29th	reb	3.5	4.1	3.7 - 4.81	3.95 - 4.16	59%	73%	40%	3,3,3,6,6,4,4,4,5,4	76%	-130	'+100
Rj Barrett	SG	33	-140	H	NY	CLE	3rd	reb	4.5	5.0	5.14 - 4.91	4.74 - 5.35	57%	47%	40%	8,3,4,2,7,7,5,3,2,6	65%	-120	-110
Draymond Green	PF	31	-325	H	GS	SAC	1st	reb	6.5	7.2	7.51 - 6.76	6.47 - 7.82	57%	53%	40%	4,9,3,5,9,9,6,6,7,7	62%	-150	'+120
Jarrett Allen	C	32	'+120	A	CLE	NY	1st	reb	9.5	9.8	10.22 - 9.04	9.26 - 10.27	55%	53%	40%	5,10,14,6,7,7,14,10,14,13	52%	-120	-110
Anthony Edwards	SG	36	'+155	H	MIN	DEN	1st	reb	5.5	5.8	6.5 - 5.16	5.29 - 6.31	53%	40%	60%	7,2,2,10,8,13,5,5,4,0	38%	'+105	-135
Mitchell Robinson	C	26	-140	H	NY	CLE	16th	reb	8.5	9.3	9.49 - 8.96	9.43 - 9.12	53%	47%	40%	7,5,8,20,16,11,14,6,6,12	43%	-135	'+105
Al Horford	C	30	-250	A	BOS	ATL	11th	reb	5.5	6.2	6.35 - 5.75	5.72 - 6.51	53%	33%	40%	4,4,9,5,8,4,4,9,9,5	79%	-145	'+115
Bogdan Bogdanovic	SG	27	'+210	H	ATL	BOS	25th	reb	2.5	3.1	3.41 - 2.69	3.57 - 2.5	53%	40%	40%	4,2,4,2,2,4,2,3,2,2	0%	-125	-105
Rudy Gobert	C	30	'+155	H	MIN	DEN	6th	reb	11.5	11.5	11.79 - 11.31	12.0 - 11.06	53%	60%	20%	10,8,13,10,3,12,15,11,15,16	73%	-110	-120
John Collins	PF	29	'+210	H	ATL	BOS	19th	reb	5.5	6.4	6.49 - 6.33	6.51 - 6.32	52%	53%	40%	5,6,4,4,8,3,6,10,2,7	73%	-105	-125
Nikola Jokic	C	33	-180	A	DEN	MIN	13th	reb	11.5	11.8	12.43 - 10.35	10.62 - 12.97	52%	47%	40%	11,9,14,10,17,6,12,17,10,10	69%	-115	-115
Kentavious Caldwell Pope	SG	31	-180	A	DEN	MIN	28th	reb	2.5	2.8	2.93 - 2.46	2.73 - 2.83	51%	47%	60%	2,3,4,1,4,4,1,8,3,1	70%	-140	'+110
Clint Capela	C	26	'+210	H	ATL	BOS	20th	reb	10.5	11.1	11.43 - 10.62	10.39 - 11.67	51%	53%	40%	11,7,8,21,4,8,14,11,6,10	64%	'+110	-140
Jaylen Brown	SG	35	-250	A	BOS	ATL	15th	reb	6.5	6.8	6.69 - 7.0	6.7 - 6.86	51%	33%	40%	1,3,12,11,2,5,3,13,7,5	44%	-110	-120
Saddiq Bey	SF	27	'+210	H	ATL	BOS	3rd	reb	4.5	4.7	5.27 - 4.44	4.16 - 5.16	49%	53%	40%	8,1,4,6,4,3,4,4,8,7	43%	'+125	-155
Darius Garland	PG	35	'+120	A	CLE	NY	26th	reb	2.5	2.6	2.78 - 2.45	2.67 - 2.61	47%	47%	40%	2,3,0,2,3,3,2,4,1,1	64%	-120	-110
Harrison Barnes	SF	32	'+270	A	SAC	GS	14th	reb	4.5	4.5	4.72 - 4.11	4.6 - 4.35	47%	47%	40%	1,6,7,0,3,5,0,4,2,4	62%	-120	-110
Aaron Gordon	PF	30	-180	A	DEN	MIN	10th	reb	6.5	6.6	6.21 - 7.55	6.84 - 6.46	46%	47%	80%	7,10,5,9,10,8,6,4,7,1	29%	-105	-125
Mike Conley	PG	30	'+155	H	MIN	DEN	6th	reb	2.5	2.7	2.79 - 2.7	2.95 - 2.5	46%	53%	60%	2,1,4,3,4,2,1,4,3,9	53%	-130	'+100
Karl Anthony Towns	C	33	'+155	H	MIN	DEN	6th	reb	8.5	8.5	8.13 - 8.72	8.88 - 8.06	45%	40%	80%	7,12,10,11,11,8,14,9,8,8	67%	-110	-120
Jalen Brunson	PG	34	-140	H	NY	CLE	1st	reb	3.5	3.5	3.45 - 3.69	3.67 - 3.45	45%	47%	60%	4,5,2,3,4,2,6,2,2,2	67%	'+110	-140
Trey Lyles	PF	16	'+270	A	SAC	GS	13th	reb	4.5	4.1	3.96 - 4.28	3.49 - 4.71	45%	47%	60%	5,4,6,2,8,5,3,3,8,4	36%	'+120	-150
Dejounte Murray	SG	36	'+210	H	ATL	BOS	25th	reb	5.5	5.3	5.7 - 4.89	5.21 - 5.4	44%	47%	60%	6,6,8,5,1,7,3,7,5,4	90%	-105	-125
Jayson Tatum	SF	37	-250	A	BOS	ATL	20th	reb	9.5	8.8	8.89 - 8.7	8.82 - 8.84	43%	47%	60%	10,10,11,3,6,11,8,9,7,8	28%	-135	'+105
Jeff Green	PF	19	-180	A	DEN	MIN	10th	reb	2.5	2.5	2.36 - 2.82	2.55 - 2.52	43%	33%	20%	2,0,2,1,5,4,7,2,2,0	41%	'+105	-135
Donovan Mitchell	SG	36	'+120	A	CLE	NY	11th	reb	4.5	4.3	4.36 - 4.12	4.31 - 4.22	42%	67%	80%	7,2,5,5,6,4,5,5,6,5	46%	-130	'+100
Klay Thompson	SG	33	-325	H	GS	SAC	17th	reb	4.5	4.2	4.54 - 3.79	4.14 - 4.24	42%	60%	80%	5,5,6,5,2,5,2,2,4,6	37%	'+110	-140
Deaaron Fox	PG	33	'+270	A	SAC	GS	8th	reb	4.5	4.2	4.17 - 4.3	4.22 - 4.22	42%	40%	60%	9,5,1,2,5,5,4,8,3,4	39%	-120	-110
Marcus Smart	PG	32	-250	A	BOS	ATL	11th	reb	3.5	3.2	3.22 - 3.21	3.15 - 3.3	42%	27%	60%	3,5,7,4,2,4,0,3,1,2	50%	'+120	-150
Jamal Murray	PG	33	-180	A	DEN	MIN	28th	reb	4.5	4.0	4.3 - 3.43	3.97 - 4.08	40%	47%	40%	6,3,8,0,3,4,5,6,6,1	0%	-125	-105
Deandre Hunter	SF	31	'+210	H	ATL	BOS	3rd	reb	4.5	4.3	4.19 - 4.47	4.03 - 4.63	38%	47%	40%	2,12,3,6,3,4,6,5,4,6	28%	-115	-115
Evan Mobley	PF	34	'+120	A	CLE	NY	8th	reb	9.5	9.1	9.14 - 9.0	8.88 - 9.29	35%	47%	60%	10,13,11,5,7,16,7,15,7,16	39%	-110	-120
Andrew Wiggins	SF	32	-325	H	GS	SAC	18th	reb	5.5	5.0	5.25 - 4.8	4.65 - 5.4	35%	33%	40%	7,5,3,7,5,10,3,0,10,7	41%	-140	'+110
Domantas Sabonis	PF	34	'+270	A	SAC	GS	13th	reb	13.5	12.4	12.55 - 12.09	12.63 - 12.1	35%	20%	40%	16,9,16,9,11,12,8,12,12,10	32%	-105	-125
Kevon Looney	F	24	-325	H	GS	SAC	1st	reb	10.5	9.4	10.36 - 8.25	8.6 - 10.14	35%	40%	40%	20,7,9,8,16,11,14,9,8,7	21%	'+105	-135
Derrick White	PG	28	-250	A	BOS	ATL	11th	reb	4.5	3.6	3.68 - 3.46	3.31 - 3.91	33%	53%	60%	2,7,5,0,6,4,7,2,5,3	29%	'+105	-135
Trae Young	PG	34	'+210	H	ATL	BOS	13th	reb	3.5	3.1	3.02 - 3.14	2.69 - 3.47	32%	27%	40%	6,3,3,8,3,2,3,0,1,2	51%	'+110	-140
Michael Porter Jr	SF	29	-180	A	DEN	MIN	29th	reb	6.5	5.7	6.16 - 4.6	5.23 - 6.09	30%	47%	80%	9,6,11,7,11,3,6,7,7,9	50%	-105	-125
