NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jaden Ivey	PG	30	'+240	A	DET	IND	28th	stl+blk	0.5	1.1	1.6 - 0.91	0.89 - 1.22	67%	53%	60%	0,1,1,2,0,0,1,0,0,0	0%	-220	'+180
Herbert Jones	SF	29	-315	H	NO	NY	9th	stl+blk	1.5	2.1	2.07 - 2.21	2.15 - 2.13	61%	53%	60%	3,1,2,0,2,0,2,1,1,1	73%	-155	'+125
Scottie Barnes	SF	35	'+120	A	TOR	BOS	6th	stl+blk	1.5	1.9	2.0 - 1.82	1.69 - 2.14	55%	47%	80%	3,1,3,5,3,4,1,0,1,1	54%	-135	'+105
Kyrie Irving	PG	37	-365	H	DAL	CHI	10th	stl+blk	1.5	1.9	1.62 - 2.14	1.77 - 1.97	55%	67%	80%	2,3,0,2,5,3,2,3,0,1	62%	-145	'+115
Killian Hayes	PG	28	'+240	A	DET	IND	28th	stl+blk	1.5	1.7	1.07 - 1.86	1.67 - 1.74	53%	53%	20%	3,0,0,1,0,2,4,0,2,3	50%	-175	'+140
Kenyon Martin Jr	F	27	-130	A	HOU	CHA	28th	stl+blk	0.5	0.9	0.95 - 0.83	0.9 - 0.83	52%	53%	40%	0,0,2,0,1,0,1,2,2,0	58%	-230	'+185
Og Anunoby	SF	35	'+120	A	TOR	BOS	6th	stl+blk	2.5	2.7	2.76 - 2.61	2.68 - 2.69	52%	47%	40%	7,3,0,2,1,4,0,4,2,1	30%	'+155	-190
Luka Doncic	PG	36	-365	H	DAL	CHI	10th	stl+blk	1.5	1.9	2.27 - 1.5	2.07 - 1.76	51%	27%	20%	1,1,2,1,1,4,1,1,1,3	49%	-110	-120
Kevin Porter Jr	SG	34	-130	A	HOU	CHA	16th	stl+blk	1.5	1.7	1.94 - 1.56	1.41 - 1.9	50%	53%	60%	2,1,4,3,1,1,2,1,3,0	48%	-125	-105
Trey Murphy Iii	SG	30	-315	H	NO	NY	4th	stl+blk	1.5	1.7	1.92 - 1.41	1.69 - 1.63	48%	60%	80%	3,1,4,2,3,1,3,4,1,0	25%	-145	'+115
Draymond Green	PF	31	-215	A	GS	SAC	12th	stl+blk	1.5	1.8	2.03 - 1.53	1.66 - 1.92	48%	40%	40%	4,1,1,2,1,1,7,2,0,1	59%	-125	-105
Cj Mccollum	SG	35	-315	H	NO	NY	4th	stl+blk	1.5	1.4	1.59 - 1.28	1.46 - 1.42	45%	33%	20%	1,1,2,0,0,4,3,1,2,4	43%	'+160	-195
Jabari Smith Jr	PF	30	-130	A	HOU	CHA	28th	stl+blk	1.5	1.5	1.89 - 1.31	1.43 - 1.48	44%	60%	60%	2,1,2,1,2,2,1,1,2,0	0%	-110	-120
Fred Vanvleet	SG	36	'+120	A	TOR	BOS	10th	stl+blk	2.5	2.3	2.62 - 2.06	2.5 - 2.18	40%	53%	60%	2,5,3,1,3,4,2,2,1,2	33%	'+110	-140
Pascal Siakam	PF	37	'+120	A	TOR	BOS	3rd	stl+blk	1.5	1.4	1.71 - 1.06	1.66 - 1.11	39%	33%	60%	2,4,2,0,1,1,1,1,2,0	59%	'+110	-140
Stephen Curry	PG	34	-215	A	GS	SAC	6th	stl+blk	1.5	1.3	1.39 - 1.15	1.32 - 1.23	31%	33%	40%	1,2,0,3,1,0,0,3,0,0	55%	'+145	-180
Alperen Sengun	C	28	-130	A	HOU	CHA	23rd	stl+blk	2.5	1.8	2.5 - 1.63	1.65 - 2.0	30%	33%	40%	4,5,0,2,1,1,1,2,2,2	52%	'+150	-185
Jalen Green	SG	34	-130	A	HOU	CHA	16th	stl+blk	1.5	1.0	0.94 - 1.04	1.06 - 0.97	30%	27%	20%	1,0,0,2,1,1,1,0,2,1	24%	'+160	-195
Aaron Nesmith	SF	25	-285	H	IND	DET	18th	stl+blk	1.5	1.2	1.28 - 1.14	0.94 - 1.44	30%	27%	20%	1,0,1,4,1,1,0,1,2,1	23%	'+125	-155
Brandon Ingram	SF	33	-315	H	NO	NY	9th	stl+blk	1.5	1.1	1.14 - 1.05	0.82 - 1.38	28%	20%	40%	3,3,0,0,1,1,0,1,1,0	30%	'+165	-205
Klay Thompson	SG	33	-215	A	GS	SAC	19th	stl+blk	1.5	1.1	1.03 - 1.26	1.42 - 0.89	27%	33%	20%	1,1,3,1,0,1,2,1,5,1	48%	'+145	-180
Svi Mykhailiuk	SG	21	'+110	H	CHA	HOU	30th	stl+blk	1.5	0.9	1.14 - 0.7	1.0 - 0.82	18%	20%	60%	1,2,1,5,2,0,1,1,0,1	0%	'+105	-135
