NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Demar Derozan	SF	36	'+210	A	CHI	MIL	7th	stl	0.5	1.1	1.25 - 0.97	1.11 - 1.11	69%	87%	100%	1,1,1,2,2,0,1,3,3,3	64%	-215	'+175
Domantas Sabonis	PF	34	'+210	A	SAC	DAL	1st	stl	0.5	0.8	0.85 - 0.8	0.82 - 0.85	60%	67%	80%	0,1,2,1,1,0,1,1,1,1	65%	-190	'+155
Andrew Nembhard	PG	27	'+280	H	IND	NY	9th	stl	0.5	0.9	0.97 - 0.88	0.82 - 1.03	58%	40%	40%	3,0,0,1,0,2,0,0,0,0	0%	-165	'+135
Jalen Brunson	PG	34	-340	A	NY	IND	27th	stl	0.5	0.9	1.0 - 0.75	1.0 - 0.81	56%	47%	60%	3,0,0,1,2,0,0,2,0,1	56%	-175	'+140
Mitchell Robinson	C	26	-340	A	NY	IND	10th	stl	0.5	0.9	1.12 - 0.65	0.96 - 0.9	56%	73%	60%	2,2,0,0,1,0,2,1,1,1	45%	-180	'+145
Pascal Siakam	PF	37	'+160	A	TOR	BOS	3rd	stl	0.5	0.9	1.14 - 0.56	1.0 - 0.71	51%	53%	60%	2,2,0,0,1,1,0,2,0,0	68%	-205	'+165
Aaron Nesmith	SF	25	'+280	H	IND	NY	2nd	stl	0.5	0.8	0.69 - 0.8	0.69 - 0.83	50%	47%	40%	0,1,3,0,0,0,1,1,1,0	26%	-145	'+115
Bennedict Mathurin	SG	28	'+280	H	IND	NY	1st	stl	0.5	0.6	0.56 - 0.65	0.62 - 0.61	49%	53%	60%	0,0,2,1,1,0,1,1,0,0	0%	-140	'+110
Quentin Grimes	SG	29	-340	A	NY	IND	20th	stl	0.5	0.6	0.68 - 0.57	0.61 - 0.66	43%	47%	80%	0,1,1,2,3,0,0,1,1,0	0%	-130	'+100
Brandon Ingram	SF	33	-215	H	NO	MEM	13th	stl	0.5	0.6	0.71 - 0.57	0.41 - 0.9	43%	40%	40%	2,0,0,0,1,0,1,0,0,0	46%	-115	-115
Luka Doncic	PG	36	-250	H	DAL	SAC	11th	stl	1.5	1.4	1.66 - 1.12	1.54 - 1.28	42%	33%	40%	0,2,0,1,2,0,1,1,2,0	37%	'+140	-175
Mikal Bridges	SF	36	-500	A	BKN	DET	5th	stl	1.5	1.1	1.25 - 0.97	1.07 - 1.15	34%	27%	40%	2,3,1,0,1,2,0,0,0,1	27%	'+190	-235
Jordan Nwora	SF	18	'+280	H	IND	NY	2nd	stl	0.5	0.4	0.46 - 0.33	0.46 - 0.35	34%	40%	20%	0,0,1,0,0,0,0,0,0,1	24%	-115	-115
Kyrie Irving	PG	37	-250	H	DAL	SAC	11th	stl	1.5	1.1	1.0 - 1.21	1.1 - 1.1	32%	40%	80%	2,0,2,2,2,1,1,0,1,2	38%	'+160	-195
