TEAM	PPG	PPGA	OVERS	OVERS AVG	TT OVERS	TT AVG	TT EVEN %
CLE	111.6	111.6	210,256,234,206,264,242,228	223.2	105,128,117,103,132,121,114	111.6	55.3
NY	115.3	115.3	224,260,230,268,216,216,198	230.7	112,130,115,134,108,108,99	115.3	55.3
-	-	-	-	-	-	-	-
SAC	120.4	120.4	216,218,250,220,238,230,214	240.8	108,109,125,110,119,115,107	120.4	49.4
GS	118.8	118.8	246,246,260,210,246,226,228	237.6	123,123,130,105,123,113,114	118.8	43.5
-	-	-	-	-	-	-	-
BOS	117.9	117.9	252,222,252,204,246,224,226	235.9	126,111,126,102,123,112,113	117.9	45.9
ATL	118.2	118.2	234,216,218,236,272,230,218	236.3	117,108,109,118,136,115,109	118.2	48.8
-	-	-	-	-	-	-	-
DEN	115.9	115.9	204,256,244,220,220,234,220	231.7	102,128,122,110,110,117,110	115.9	59.5
MIN	114.8	114.8	230,252,232,212,268,222,196	229.5	115,126,116,106,134,111,98	114.8	54.7
-	-	-	-	-	-	-	-
