EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	BV	PN	Kambi/BR	CZ	L10%	L5%	SZN	Splits
5.2	-110 BR	52%	queens university @ lipscomb		1h_total	o 79.0	-	-	-	-145/+110	-143/107	-110/-115	-	-	-	-	
4.3	-107 BR	52%	north carolina a&t @ charleston		1h_spread	u 12.0	-	-	-	'+105/-135	106/-132	-118/-107	-	-	-	-	
3.6	-120 BR	55%	queens university @ lipscomb		1h_total	o 78.5	-	-	-	-150/+115	-156/115	-120/-106	-	-	-	-	
3.3	148 FD	40%	iona @ niagara		1h_spread	u 1.5	-188/+148	-	-	-160/+120	-156/124	-	-	-	-	-	
2.8	-107 BR	52%	arizona @ utah		1h_total	o 75.0	-	-	-	-130/100	-127/103	-107/-120	-	-	-	-	
2.7	-117 BR	54%	arizona @ utah		1h_total	o 74.5	-	-	-	-145/+110	-138/113	-117/-109	-	-	-	-	
2.5	-103 BR	51%	middle tennessee @ liberty		2h_spread	o 4.5	-	-	-	-	-	-103/-124	-125/-105	-	-	-	
2.3	-122 BR	55%	iowa @ penn state		1h_total	o 76.0	-	-	-	-150/+115	-144/116	-122/-105	-	-	-	-	
2.1	-118 BR	54%	north carolina a&t @ charleston		1h_total	o 73.5	-	-	-	-145/+110	-137/112	-118/-107	-	-	-	-	
1.9	-105 CZ	51%	middle tennessee @ liberty		2h_spread	u 4.5	-	-	-	-	-	-103/-124	-125/-105	-	-	-	
1.8	-114 FD	53%	southern utah @ utah tech		1h_total	u 72.5	-110/-114	-	-	'+105/-135	109/-134	-	-	-	-	-	
1.7	-126 FD	56%	washington	Sahvir Wheeler	ast	o 4.5	-126/-110	-155/+115	-	-155/+115	-	-	-164/111	40%	40%	67%	6,4,3,8,2,3,3,2,10,5
1.6	104 FD	49%	washington state	Jaylen Wells	3ptm	o 1.5	'+104	-115/-115	-	-	-	-	-119/-123	50%	60%	43%	0,1,2,3,1,1,2,3,2,0
1.5	-110 BV	52%	middle tennessee @ liberty		spread	o 12.0	-	-130/+100	-	-110/-110	-121/102	-130/106	-	-	-	-	
1.5	-105 BR	51%	arizona state @ colorado		total	u 149.0	-	-105/-125	-	-105/-125	-103/-119	-115/-105	-	-	-	-	
1.3	-110 BR	52%	arizona state @ colorado		total	u 149.5	-	'+100/-130	-	100/-130	104/-127	-110/-110	-103/-133	-	-	-	
1.2	-106 FD	51%	chattanooga @ vmi		home_total	o 72.5	-106/-114	-115/-115	-	-130/100	-126/104	-125/-106	-	-	-	-	
1.1	105 BR	49%	san francisco @ pepperdine		total	u 145.5	-	-	-	-120/-110	-111/-109	-129/105	-121/-113	-	-	-	
1.1	-106 FD	51%	milwaukee @ youngstown state		away_total	o 75.5	-106/-114	-125/-105	-	-	-	-	-	-	-	-	
1.1	-105 BV	51%	memphis @ temple		spread	u -7.0	-	-105/-125	-	-115/-105	-101/-116	-103/-120	-	-	-	-	
1.0	100 BR	50%	san francisco @ pepperdine		total	u 146.0	-	-	-	-110/-110	-105/-116	-122/100	-115/-119	-	-	-	
1.0	-106 BR	51%	florida atlantic @ uab		1h_total	o 74.0	-	-	-	-125/-105	-119/-102	-106/-121	-	-	-	-	
1.0	-102 FD	50%	albany @ binghamton		home_total	u 78.5	-120/-102	-120/-110	-	-105/-125	-105/-126	-	-	-	-	-	
0.9	-115 BR	53%	san francisco @ pepperdine		total	u 147.5	-	-	-	100/-130	109/-135	-105/-115	102/-139	-	-	-	
0.8	-110 BR	52%	san francisco @ pepperdine		total	u 147.0	-	-	-	-105/-125	104/-129	-110/-110	-	-	-	-	
0.8	102 BR	50%	middle tennessee @ liberty		total	u 130.0	-	-115/-115	-	-110/-110	-111/-109	-122/102	-	-	-	-	
0.8	-110 CZ	52%	abilene christian @ seattle		1h_total	u 68.0	-	-	-	-	102/-124	-	-110/-110	-	-	-	
0.6	-110 BR	52%	washington @ oregon		total	o 154.0	-	-125/-105	-	-130/100	-126/103	-110/-110	-	-	-	-	
0.6	-110 CZ	52%	north carolina a&t @ charleston		total	o 155.0	-	-130/+100	-	-125/-105	-119/-102	-129/105	-110/-110	-	-	-	
0.5	-122 BR	55%	ut arlington @ california baptist		total	o 139.0	-	-140/+110	-	-145/+110	-138/112	-122/100	-	-	-	-	
0.5	-117 BR	54%	arizona state @ colorado		total	u 150.0	-	'+105/-135	-	'+105/-135	109/-134	-105/-117	-	-	-	-	
0.5	-105 FD	51%	arizona	Oumar Ballo	pts	o 13.5	-105/-125	-125/-105	-125/-105	-125/-115	-	-	-127/-115	40%	60%	36%	12,4,17,11,8,17,7,10,22,18
0.4	-110 CZ	52%	ut arlington @ california baptist		1h_spread	o 2.0	-	-	-	-130/100	-126/103	-121/-106	-110/-110	-	-	-	
0.4	-115 BR	53%	ut arlington @ california baptist		total	o 139.5	-	-130/+100	-	-135/+105	-130/106	-115/-105	-137/100	-	-	-	
0.4	105 BR	49%	samford @ nc greensboro		total	u 149.5	-110/-110	-125/-105	-	-110/-110	-117/-104	-129/105	-125/-109	-	-	-	
0.4	-122 BR	55%	arizona state @ colorado		total	u 150.5	-	'+110/-140	-	'+110/-145	113/-140	100/-122	106/-145	-	-	-	
0.4	106 BR	49%	arizona state @ colorado		total	u 148.0	-	-120/-110	-	-120/-110	-117/-104	-130/106	-	-	-	-	
0.4	-122 BR	55%	albany @ binghamton		total	u 156.0	-	'+100/-130	-	'+115/-150	111/-151	100/-122	-	-	-	-	
0.2	-105 BR	51%	washington @ oregon		total	o 154.5	-	-120/-110	-	-125/-105	-119/-102	-105/-115	-119/-115	-	-	-	
0.2	-105 FD	51%	utah	Branden Carlson	pts	o 15.5	-105/-125	-120/-110	-	-125/-115	-	-	-133/-110	50%	40%	57%	34,19,7,12,16,17,12,20,9,5
0.2	-110 BR	52%	samford @ nc greensboro		total	u 151.0	-	-110/-120	-	'+105/-135	100/-122	-110/-110	-	-	-	-	
0.2	-110 FD	52%	oregon	Jackson Shelstad	pts	o 10.5	-110/-120	-130/-105	-	-	-	-	-135/-108	50%	20%	61%	20,17,14,12,9,6,2,6,20,10
0.2	-104 FD	51%	iowa @ penn state		1h_ml	u  	-118/-104	-	-115/-115	100/-120	-102/-119	-	-110/-110	-	-	-	
0.2	-117 BR	54%	abilene christian @ seattle		total	o 142.0	-	-135/+105	-	-	-132/108	-117/-105	-	-	-	-	
0.2	-130 BR	57%	abilene christian @ seattle		total	o 141.0	-	-150/+120	-	-	-147/118	-130/106	-	-	-	-	
0.1	-105 BR	51%	san francisco @ pepperdine		total	u 146.5	-110/-110	-	-	-110/-120	-100/-122	-115/-105	-109/-125	-	-	-	
0.1	-115 BR	53%	samford @ nc greensboro		total	u 151.5	-	-105/-125	-	'+110/-145	106/-129	-105/-115	-103/-133	-	-	-	
0.1	-130 BV	57%	samford @ nc greensboro		total	o 148.0	-	-145/+114	-	-130/100	-	-155/120	-	-	-	-	
0.1	114 BR	47%	abilene christian @ seattle		spread	u 11.0	-	-130/+100	-	-	-122/103	-141/114	-	-	-	-	
-0.0	-122 BR	55%	washington @ oregon		total	o 153.0	-	-135/+105	-	-145/+110	-139/112	-122/100	-	-	-	-	
0.0	100 BR	50%	ut arlington @ california baptist		total	o 141.0	-	-115/-115	-	-110/-110	-109/-112	100/-122	-117/-117	-	-	-	
0.0	100 BR	50%	samford @ nc greensboro		total	u 150.0	-	-120/-110	-	-105/-125	-112/-109	-122/100	-119/-115	-	-	-	
0.0	110 BV	48%	queens university @ lipscomb		1h_total	u 79.0	-	-	-	-145/+110	-143/107	-110/-115	-	-	-	-	
0.0	100 BR	50%	green bay @ robert morris		2h_spread	u 1.5	-	-	-	-	-	-127/100	-115/-115	-	-	-	
-0.0	132 BR	43%	florida atlantic @ uab		spread	o -8.0	-	'+114/-145	-	'+115/-150	122/-147	132/-175	-	-	-	-	
0.0	-106 FD	51%	arizona state @ colorado		1h_total	u 70.5	-118/-106	-	-110/-120	-105/-125	-101/-121	-110/-115	-	-	-	-	
0.0	100 BR	50%	arizona state @ colorado		total	u 148.5	-110/-110	-115/-115	-110/-110	-110/-110	-110/-110	-122/100	-115/-119	-	-	-	
