EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
311.8	7500 FD	usc @ michigan	Benjamin Hall	2+td	o  	'+7500	-	-	800	-	-	-	-
249.2	1900 FD	usc @ michigan	Benjamin Hall	team_ftd	o  	'+1900	-	-	350	-	-	-	-
71.8	550 ESPN	arizona state @ texas tech	Xavier Guillory	attd	o  	'+220	'+215	'+550/-1100	-	-	-	240	-
53.7	630 FD	iowa @ minnesota	Kaleb Brown	attd	o  	'+630	'+290	-	-	-	-	-	-
44.0	630 FD	ucla @ lsu	Logan Loya	attd	o  	'+630	'+310	-	-	-	-	-	-
43.7	500 ESPN	arkansas @ auburn	Isaac Teslaa	attd	o  	'+265	'+230	'+500/-1000	-	-	-	260	-
42.4	1700 FD	usc @ michigan	Semaj Morgan	team_ftd	o  	'+1700	-	-	650	-	-	-	-
41.2	560 FD	iowa @ minnesota	Reece Vander Zee	attd	o  	'+560	'+285	-	-	-	-	-	-
36.0	340 FD	arkansas @ auburn	Luke Hasz	attd	o  	'+340	'+185	-	-	-	-	-	-
33.0	375 CZ	tennessee @ oklahoma	Taylor Tatum	attd	o  	-	'+210	-	-	-	-	375	-
30.3	245 FD	miami florida @ south florida	Kelley Joiner	attd	o  	'+245	-	-	140	-	-	-	-
30.0	180 FD	arkansas @ auburn	Cam Coleman	attd	o  	'+180	'+100	-	-	-	-	-	-
29.6	400 FD	arkansas @ auburn	Jeremiah Cobb	attd	o  	'+400	'+230	-	-	-	-	-	-
28.5	800 FD	usc @ michigan	Benjamin Hall	attd	o  	'+800	'+700	-	140	-	-	-	-
26.1	335 ESPN	california @ florida state	Dj Uiagalelei	attd	o  	'+178	'+245	'+335/-550	180	-	-	-	-
25.2	550 ESPN	arkansas @ auburn	Rodney Hill	attd	o  	'+320	'+285	'+550/-1100	-	-	-	350	-
24.8	390 DK	iowa @ minnesota	Kamari Moulton	attd	o  	'+235	'+390	-	-	-	-	-	-
23.6	300 FD	georgia tech @ louisville	Maurice Turner	2+td	o  	'+300	-	-	185	-	-	-	-
22.8	5500 FD	utah @ oklahoma state	Alan Bowman	ftd	o  	'+5500	'+2500	'+1800/-5000	4500	-	-	-	-
22.7	335 ESPN	vanderbilt @ missouri	Quincy Skinner	attd	o  	-	'+185	'+335/-550	-	-	-	230	-
22.2	600 FD	georgia tech @ louisville	Keyjuan Brown	team_ftd	o  	'+600	-	-	350	-	-	-	-
22.1	850 MGM	usc @ michigan	Marlin Klein	attd	o  	'+360	'+235	'+480/-900	850	-	-	450	-
20.9	220 FD	utah @ oklahoma state	Ollie Gordon	team_ftd	o  	'+220	-	-	140	-	-	-	-
20.8	700 FD	miami florida @ south florida	Kelley Joiner	team_ftd	o  	'+700	-	-	400	-	-	-	-
19.9	315 ESPN	miami ohio @ notre dame	Beaux Collins	attd	o  	'+250	'+110	'+315/-500	-	-	-	245	-
19.1	500 ESPN	miami ohio @ notre dame	Jaden Greathouse	attd	o  	'+390	'+145	'+500/-1000	-	-	-	390	-
18.9	350 FD	iowa @ minnesota	Marcus Major	attd	o  	'+350	'+225	-	-	-	-	-	-
18.5	400 FD	arkansas @ auburn	Hank Brown	attd	o  	'+400	'+270	-	-	-	-	240	-
18.2	480 CZ	tennessee @ oklahoma	Chas Nimrod	attd	o  	-	'+300	-	-	-	-	480	-
18.2	390 FD	michigan state @ boston college	Jerand Bradley	attd	o  	'+390	'+250	-	-	-	-	-	-
17.8	680 FD	tennessee @ oklahoma	Zion Ragins	attd	o  	'+680	-	-	-	-	-	400	-
17.8	1060 FD	miami ohio @ notre dame	Javon Tracy	attd	o  	'+1060	'+550	-	-	-	-	-	-
16.3	130 FD	georgia tech @ louisville	Keyjuan Brown	attd	o  	'+130	-185	-	115	-	-	-	-
15.0	1200 ESPN	utah @ oklahoma state	Dallen Bentley	attd	o  	-	'+310	'+1200/-5000	-	-	-	900	-
14.8	500 MGM	tennessee @ oklahoma	Jovantae Barnes	team_ftd	o  	'+320	-	-	500	-	-	-	-
14.2	300 ESPN	arkansas @ auburn	Tyrone Broden	attd	o  	'+190	'+145	'+300/-475	-	-	-	280	-
14.1	460 ESPN	miami ohio @ notre dame	Jordan Faison	attd	o  	'+340	'+160	'+460/-850	-	-	-	400	-
13.4	200 FD	arkansas @ auburn	Damari Alston	attd	o  	'+200	'+150	'+135/-190	-	-	-	130	-
12.9	185 DK	tennessee @ oklahoma	Cameron Seldon	attd	o  	-	'+185	-	-	-	-	130	-
12.8	300 FD	tennessee @ oklahoma	Donte Thornton	attd	o  	'+300	'+165	-	280	-	-	180	-
11.6	126 FD	arkansas @ auburn	Taylen Green	attd	o  	'+126	'+100	-110/-125	-	-	-	-162	-
10.2	230 FD	tennessee @ oklahoma	Bru Mccoy	attd	o  	'+230	'+170	-	130	-	-	200	-
9.5	-156 FD	georgia tech @ louisville	Maurice Turner	attd	o  	-156	-	-	-250	-	-	-	-
9.2	250 ESPN	arizona state @ texas tech	Caleb Douglas	attd	o  	'+164	'+145	'+250/-375	-	-	-	240	-
8.7	340 FD	ucla @ lsu	Rico Flores	attd	o  	'+340	'+225	'+230/-340	320	-	-	250	-
8.7	164 FD	arkansas @ auburn	Andrew Armstrong	attd	o  	'+164	'+105	'+125/-175	-	-	-	110	-
8.7	145 DK	arizona state @ texas tech	Sam Leavitt	attd	o  	'+140	'+145	'+103/-140	-	-	-	-110	-
8.0	430 FD	california @ florida state	Jaivian Thomas	team_ftd	o  	'+430	-	-	300	-	-	-	-
7.7	250 MGM	georgia tech @ louisville	Eric Singleton	attd	o  	'+230	'+150	'+185/-265	250	-	-	150	-
7.5	750 FD	usc @ michigan	Tyler Morris	attd	o  	'+750	'+330	-	600	-	-	-	-
7.5	1100 FD	usc @ michigan	Frederick Moore	attd	o  	'+1100	-	-	600	-	-	-	-
7.5	158 FD	arizona state @ texas tech	Decarlos Brooks	attd	o  	'+158	'+120	-	-	-	-	-	-
7.3	630 FD	usc @ michigan	Semaj Morgan	attd	o  	'+630	'+255	'+440/-800	260	-	-	300	-
7.0	132 FD	usc @ michigan	Donovan Edwards	attd	o  	'+132	'+125	-102/-134	115	-	-	-150	-
6.9	172 FD	michigan state @ boston college	Montorie Foster	attd	o  	'+172	'+120	-	150	-	-	125	-
6.6	710 FD	iowa @ minnesota	Lemeke Brockington	attd	o  	'+710	'+450	-	-	-	-	-	-
