EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
213.7	jyaire shorter	attd	auburn @ california	-	700	-	155	-	-	-
206.7	andy alfieri	attd	auburn @ california	-	650	-	2200	-	-	-
151.4	bryson donnell	attd	oregon @ texas tech	-	380	-	-110	-	-	-
147.1	jordan anthony	attd	texas a&m @ miami florida	-	750	-	2000	-	-	-
133.3	raymond cottrell	attd	texas a&m @ miami florida	-	800	-	2000	-	-	-
123.5	theo melin ohrstrom	attd	texas a&m @ miami florida	-	750	-	1800	-	-	-
123.2	robby ashford	attd	auburn @ california	-210	-175	-	240	-	-	-
111.3	kobe prentice	attd	texas @ alabama	240	285	-	650	-	-	-
95.6	shane hooks	attd	auburn @ california	-110	-105	-	275	-	-	-
93.5	ashton stredick	attd	auburn @ california	-	500	-	210	-	-	-
85.5	monroe young	attd	auburn @ california	155	140	-	360	-	-	-
81.2	hayden large	attd	iowa @ iowa state	-	1500	-	2800	-	-	-
73.3	brian battie	attd	auburn @ california	-105	120	-	250	-	-	-
71.4	jahdae walker	attd	texas a&m @ miami florida	-	600	-	1100	-	-	-
69.4	taj davis	attd	auburn @ california	-	425	-	210	-	-	-
65.7	ben finley	attd	auburn @ california	230	235	-	450	-	-	-
62.5	kaden wetjen	attd	iowa @ iowa state	-	1500	-	2500	-	-	-
61.9	luke deal	attd	auburn @ california	-	750	-	425	-	-	-
60.6	jack endries	attd	auburn @ california	220	240	-	425	-	-	-
60.5	tiger bachmeier	attd	stanford @ usc	185	550	-	550	-	-	-
59.7	payton thorne	attd	auburn @ california	200	240	-	400	-	-	-
58.5	mavin anderson	attd	auburn @ california	-	550	-	310	-	-	-
58.1	ej smith	attd	stanford @ usc	240	115	-	115	-	-	-
56.0	billy kemp iv	attd	nebraska @ colorado	-	150	-	150	-	-	-
54.4	colorado defense	attd	nebraska @ colorado	240	425	-	-	-	-	-
53.3	juan davis	attd	texas @ alabama	-	2200	-	1400	-	-	-
53.1	quinten joyner	attd	stanford @ usc	-175	220	-	220	-	-	-
47.4	johntay cook	attd	texas @ alabama	-	1300	-	850	-	-	-
47.4	jaivian thomas	attd	auburn @ california	-	850	-	1300	-	-	-
44.2	isaiah ifanse	attd	auburn @ california	160	160	-	275	-	-	-
40.4	keyon lesane	attd	notre dame @ nc state	190	180	-	300	-	-	-
40.0	danny lewis	attd	texas @ alabama	-	650	-	950	-	-	-
38.5	leveon moss	attd	texas a&m @ miami florida	260	205	-	115	-	-	-
36.1	amari niblack	attd	texas @ alabama	-	390	-	260	-	-	-
33.3	omari kelly	attd	auburn @ california	-	700	-	500	-	-	-
33.3	moose muhammadi	attd	texas a&m @ miami florida	-	155	-	240	-	-	-
33.3	kaleb brown	attd	iowa @ iowa state	900	850	-	650	-	-	-
33.3	jeremiah cobb	attd	auburn @ california	-	700	-	500	-	-	-
32.2	kavosiey smoke	attd	nebraska @ colorado	250	425	-	390	-	-	-
32.1	zachariah branch	attd	stanford @ usc	-160	150	-	145	-	-	-
30.8	gunnar helm	attd	texas @ alabama	-	750	-	550	-	-	-
30.8	elic ayomanor	attd	stanford @ usc	220	360	-	380	-	-	-
27.3	nc state defense	attd	notre dame @ nc state	800	950	-	650	-	-	-
26.2	jeremiah hunter	attd	auburn @ california	-120	-105	-	135	-	-	-
25.0	christopher toudle	attd	notre dame @ nc state	380	380	-	500	-	-	-
25.0	asher alberding	attd	auburn @ california	-	900	-	700	-	-	-
24.7	latreal jones	attd	southern miss @ florida state	430	-	-	325	-	-	-
24.2	tahj washington	attd	stanford @ usc	-230	100	-	100	-	-	-
23.6	lake mcree	attd	stanford @ usc	150	225	-	240	-	-	-
23.5	javarrius johnson	attd	auburn @ california	160	200	-	110	-	-	-
