	vs ECR	PTS	PLAYER	ATTD	PASS_TD	PASS_YD	INT	RUSH_YD	INC
QB1	0	19.5	Lamar Jackson	2.19	5.47	7.46	-1.18	5.56	,,
QB2	0	19.4	Josh Allen	3.04	5.73	8.65	-1.32	3.33	,,
QB3	0	18.9	Jayden Daniels	2.67	5.21	7.27	-1.18	4.97	,,
QB4	0	18.0	Brock Purdy	0.72	6.98	10.12	-1.14	1.28	,,
QB5	0	17.0	Jordan Love	0.58	7.48	9.99	-1.43	0.42	,,
QB6	'+1	17.0	Cj Stroud	0.6	6.51	10.08	-1.29	1.05	,,
QB7	-1	16.6	Justin Fields	2.48	4.33	6.27	-0.99	4.56	,,
QB8	'+1	16.5	Geno Smith	0.67	6.17	9.84	-1.27	1.06	,,
QB9	-1	16.4	Joe Burrow	0.66	6.29	9.87	-1.4	1.0	,,
QB10	0	16.4	Kyler Murray	1.53	5.32	8.17	-1.44	2.79	,,
QB11	'+2	16.0	Trevor Lawrence	1.04	5.84	8.92	-1.32	1.51	,,
QB12	-1	15.8	Patrick Mahomes	1.05	5.8	8.68	-1.49	1.81	,,
QB13	-1	15.2	Baker Mayfield	0.62	5.71	9.1	-1.37	1.14	,,
QB14	'+1	14.7	Dak Prescott	0.6	5.58	9.13	-1.5	0.91	,,
QB15	-1	14.5	Deshaun Watson	1.17	4.89	7.84	-1.64	2.21	,,
QB16	'+1	14.0	Sam Darnold	0.64	5.63	7.9	-1.3	1.14	,,
QB17	-1	13.9	Caleb Williams	1.02	5.07	7.68	-1.3	1.47	,,
QB18	0	13.5	Joe Flacco	0.24	5.37	8.79	-1.43	0.54	,rush_yd,
QB19	0	13.3	Kirk Cousins	0.2	5.66	8.77	-1.35	0.04	,,
QB20	'+1	13.2	Matthew Stafford	0.42	5.31	8.89	-1.49	0.1	,,
QB21	'+1	13.1	Daniel Jones	1.19	3.56	6.56	-1.35	3.18	,,
QB22	-2	13.1	Aaron Rodgers	0.23	5.21	8.24	-1.05	0.51	,,
QB23	'+2	13.0	Bo Nix	1.77	3.7	6.81	-1.39	2.06	,,
QB24	'+2	12.4	Tyler Huntley	1.28	3.17	5.89	-1.37	3.41	,,
QB25	-1	11.7	Andy Dalton	0.28	4.69	7.83	-1.51	0.42	,,
QB26	-3	11.0	Derek Carr	0.31	4.34	7.52	-1.51	0.36	,,
QB27	0	10.1	Gardner Minshew	0.31	3.73	6.68	-1.42	0.77	,,
QB28	0	9.3	Jacoby Brissett	0.53	3.08	5.73	-1.16	1.12	,,
QB29	'+3	8.8	Anthony Richardson	2.7	2.4	4.16	-1.0	0.58	,pass_td,pass_yd,int,rush_yd,
QB30	-	0.0	Michael Penix	-	-	-	-	-	,pass_td,pass_yd,int,rush_yd,
