	VAL	PLAYER	ATTD PTS	RUSH_YD PTS	REC PTS	REC_YD PTS
RB1	17.3	Breece Hall	5.23	7.13	2.16	2.81
RB2	15.4	Bijan Robinson	3.79	6.49	2.27	2.82
RB3	15.4	Saquon Barkley	4.78	7.58	1.36	1.63
RB4	14.7	Kyren Williams	4.39	7.52	1.3	1.55
RB5	14.3	Joe Mixon	4.42	6.93	1.32	1.64
RB6	13.8	Derrick Henry	5.07	7.23	0.71	0.82
RB7	13.8	Isiah Pacheco	4.17	6.58	1.39	1.61
RB8	13.6	Jahmyr Gibbs	4.49	4.77	1.83	2.51
RB9	13.5	Jonathan Taylor	3.35	7.82	1.0	1.31
RB10	12.8	James Conner	3.79	6.3	1.32	1.35
RB11	12.7	Alvin Kamara	2.75	4.92	2.32	2.76
RB12	12.4	Josh Jacobs	3.29	6.34	1.26	1.49
RB13	12.2	Rhamondre Stevenson	2.95	6.3	1.45	1.52
RB14	11.6	Travis Etienne	3.17	5.1	1.62	1.7
RB15	11.4	David Montgomery	4.48	5.53	0.71	0.73
RB16	11.4	Rachaad White	2.88	4.4	1.89	2.27
RB17	11.4	Devin Singletary	3.18	5.46	1.3	1.49
RB18	11.1	Aaron Jones	2.87	5.02	1.44	1.76
RB19	10.9	Jerome Ford	2.31	5.03	1.71	1.85
RB20	10.8	Jk Dobbins	2.69	5.74	1.11	1.26
RB21	10.8	Zack Moss	2.85	4.92	1.42	1.59
RB22	10.4	Brian Robinson	2.79	5.42	0.98	1.22
RB23	10.2	Ezekiel Elliott	3.65	4.2	1.09	1.23
RB24	10.1	Tony Pollard	2.54	5.03	1.22	1.36
RB25	9.6	Najee Harris	2.37	5.7	0.7	0.86
RB26	9.6	Javonte Williams	2.15	4.26	1.52	1.7
RB27	9.5	Chuba Hubbard	2.25	4.91	1.08	1.27
RB28	9.1	Dandre Swift	2.09	4.19	1.29	1.54
RB29	7.7	Gus Edwards	2.24	4.35	0.48	0.58
RB30	7.4	Zamir White	1.76	4.15	0.68	0.83
RB31	7.3	Tyjae Spears	1.67	2.56	1.37	1.72
RB32	7.1	Rico Dowdle	1.45	3.69	0.87	1.13
RB33	7.1	Austin Ekeler	1.6	2.06	1.46	1.97
RB34	6.4	Christian Mccaffrey	6.37	-	-	-
