	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
WR1	0	15.3	Ceedee Lamb	3.51	3.36	8.4	,,
WR2	0	13.6	Jamarr Chase	3.3	2.81	7.52	,,
WR3	0	13.1	Malik Nabers	3.13	2.85	7.16	,rec,rec_yd,
WR4	0	13.1	Amon Ra St Brown	2.7	3.5	6.92	,,
WR5	'+1	12.6	Drake London	2.85	2.98	6.78	,,
WR6	-1	12.1	Jayden Reed	3.48	2.5	6.1	,,
WR7	'+5	11.9	Deebo Samuel	2.82	2.32	5.42	,,
WR8	0	11.3	Chris Godwin	2.26	2.9	6.15	,rec,
WR9	'+2	11.2	Stefon Diggs	2.35	2.83	6.06	,,
WR10	-1	11.2	Dj Moore	2.2	2.57	6.43	,,
WR11	-1	11.2	Dk Metcalf	2.36	2.46	6.37	,,
WR12	'+2	11.1	Garrett Wilson	2.2	2.8	6.1	,rec,
WR13	0	11.0	Brandon Aiyuk	2.37	2.39	6.28	,,
WR14	'+3	10.9	Mike Evans	2.63	2.4	5.84	,rec,
WR15	'+4	10.7	Diontae Johnson	2.27	2.53	5.87	,,
WR16	-9	10.5	Aj Brown	2.33	1.29	6.91	,,
WR17	-1	10.5	Zay Flowers	2.59	2.45	5.44	,,
WR18	'+2	10.5	Terry Mclaurin	2.08	2.38	6.02	,,
WR19	'+14	10.2	Josh Downs	1.64	2.7	5.9	,rec,rec_yd,
WR20	'+11	10.2	Wandale Robinson	2.15	2.8	5.27	,rec,rec_yd,
WR21	'+2	10.1	Brian Thomas	2.12	2.38	5.58	,,
WR22	-7	10.0	Marvin Harrison	2.19	2.3	5.49	,,
WR23	-1	9.8	Chris Olave	1.74	2.35	5.69	,rec,rec_yd,
WR24	-3	9.7	Devonta Smith	2.13	1.36	6.25	,,
WR25	'+3	9.7	Tank Dell	2.08	2.22	5.41	,,
WR26	-8	9.7	Tee Higgins	2.25	2.19	5.26	,,
WR27	'+9	9.7	Jakobi Meyers	1.4	2.55	5.74	,rec,rec_yd,
WR28	-2	9.4	Darnell Mooney	2.16	2.18	5.03	,,
WR29	'+10	9.2	Courtland Sutton	1.36	2.2	5.69	,rec,rec_yd,
WR30	'+5	8.9	Calvin Ridley	1.47	2.0	5.48	,rec,rec_yd,
WR31	'+1	8.9	Dontayvion Wicks	1.99	1.85	5.08	,rec,rec_yd,
WR32	'+2	8.7	Christian Kirk	1.72	2.24	4.74	,,
WR33	-3	8.7	Jaxon Smith Njigba	1.64	2.49	4.55	,,
WR34	-5	8.7	Rashid Shaheed	1.48	1.85	5.34	,rec,rec_yd,
WR35	'+6	8.6	Keenan Allen	1.71	2.27	4.58	,,
WR36	'+11	8.5	Romeo Doubs	2.11	1.86	4.52	,,
WR37	0	8.3	Ladd Mcconkey	1.41	2.2	4.72	,rec,
WR38	-14	8.2	Jameson Williams	2.06	1.43	4.72	,,
WR39	'+5	8.0	Tyler Lockett	1.47	2.1	4.47	,,
WR40	0	8.0	Jalen Tolbert	1.55	1.9	4.57	,,
WR41	-3	7.8	Deandre Hopkins	1.39	1.85	4.54	,rec,rec_yd,
WR42	'+8	7.8	Alec Pierce	1.44	1.4	4.91	,rec,rec_yd,
WR43	'+19	7.6	Darius Slayton	1.93	1.5	4.13	,rec,rec_yd,
WR44	-19	7.5	Amari Cooper	1.33	1.14	5.07	,,
WR45	0	7.5	Xavier Legette	1.3	1.85	4.38	,rec,rec_yd,
WR46	-19	7.4	George Pickens	1.56	1.18	4.68	,,
WR47	'+8	7.3	Keon Coleman	1.68	1.55	4.06	,rec,rec_yd,
WR48	'+3	7.2	Tre Tucker	1.09	1.8	4.29	,rec,rec_yd,
WR49	-7	7.1	Rome Odunze	1.4	1.64	4.04	,,
WR50	'+14	7.0	Khalil Shakir	1.28	1.7	4.01	,rec,rec_yd,
