EV	EV Book	Game	Player	Prop	FD	DK	MGM	BV	PB	PN	Kambi	CZ
3.1	dk	DAL @ LAC	Keenan Allen	attd	120	+130	100	+125	-115	104/-140	108	104
1.6	fd	DAL @ LAC	Ceedee Lamb	attd	150	+110	-110	+110	130	131/-179	114	118
-5.9	cz	DAL @ LAC	Tony Pollard	attd	-180	-165	-165	-164	-190	-135/103	-157	-145
-6.3	bv	DAL @ LAC	Austin Ekeler	attd	-195	-170	-225	-164	-190	-156/116	-177	-179
-6.8	fd	DAL @ LAC	Quentin Johnston	attd	360	+250	230	+250	350	286/-497	240	240
-8.2	fd	DAL @ LAC	Brandin Cooks	attd	330	+295	260	+275	320	266/-444	240	230
-8.4	dk	DAL @ LAC	Jalen Tolbert	attd	1000	+1200	550	+550	900	576/-1709	700	550
-8.5	pb	DAL @ LAC	Michael Gallup	attd	340	+260	230	+275	350	286/-496	200	240
-10.6	fd	DAL @ LAC	Joshua Palmer	attd	260	+220	150	+225	260	237/-377	-	200
-11.2	dk	DAL @ LAC	Deuce Vaughn	attd	-	+600	230	+550	550	-	525	-
-14.2	fd	DAL @ LAC	Jake Ferguson	attd	270	+160	200	+240	270	257/-423	220	220
-15.9	pb	DAL @ LAC	Gerald Everett	attd	420	+320	190	+330	425	354/-693	280	285
-17.2	pb	DAL @ LAC	Joshua Kelley	attd	410	+275	-150	+225	425	372/-756	270	350
-18.5	fd	DAL @ LAC	Justin Herbert	attd	650	+360	333	+450	500	467/-1092	440	550
-19.4	bv	DAL @ LAC	Rico Dowdle	attd	330	+400	210	+450	340	378/-773	390	310
-28.9	pb	DAL @ LAC	Malik Davis	attd	550	-	-	-	600	-	-	-
-32.9	pb	DAL @ LAC	Donald Parham	attd	450	+360	250	+275	475	459/-1061	380	450
-33.6	dk	DAL @ LAC	Luke Schoonmaker	attd	700	+800	650	+750	750	-	540	-
-38.1	fd	DAL @ LAC	Dak Prescott	attd	480	+425	450	+375	475	474/-1162	290	400
-38.4	dk	DAL @ LAC	Derius Davis	attd	850	+1000	600	+800	850	659/-2293	850	600
-39.7	dk	DAL @ LAC	Isaiah Spiller	attd	1200	+1300	350	+275	1200	-	1400	-
-50.2	mgm	DAL @ LAC	Sean Mckeon	attd	700	+950	1600	-	700	-	1600	1100
-52.8	fd	DAL @ LAC	Hunter Luepke	attd	2100	+800	450	+1100	1900	-	900	1400
-55.8	dk	DAL @ LAC	Kavontae Turpin	attd	650	+800	750	+550	750	725/-2863	700	650
-78.5	dk	DAL @ LAC	Simi Fehoko	attd	-	+1700	1200	-	-	-	1200	-
-79.7	dk	DAL @ LAC	Elijah Dotson	attd	1200	+1600	800	+600	1400	-	2000	1200
-98.9	dk	DAL @ LAC	Jalen Brooks	attd	1000	+2000	1800	-	1000	-	1500	-
