EV	EV Book	Game	Player	Prop	FD	DK	MGM	BV	PB	PN	Kambi	CZ
-22.5	PB	PIT @ BUF	Stefon Diggs	ftd	-	+650	650	-	800	518/-1378	550	500
-31.3	MGM	PHI @ TB	Jalen Hurts	ftd	-	+450	500	-	500	441/-1018	390	380
-34.1	MGM	PIT @ BUF	Josh Allen	ftd	-	+400	450	-	425	432/-980	380	380
-35.2	MGM	PHI @ TB	Dandre Swift	ftd	-	+950	1000	-	-	634/-2104	800	700
-39.1	DK	PIT @ BUF	Najee Harris	ftd	-	+950	800	-	-	656/-2268	575	700
-41.8	MGM	PIT @ BUF	Dalton Kincaid	ftd	-	+1100	1300	-	-	756/-3167	1000	850
-42.2	DK	PHI @ TB	Rachaad White	ftd	-	+550	500	-	-	524/-1408	460	500
-42.8	PB	PHI @ TB	Devonta Smith	ftd	-	+800	1000	-	1050	700/-2630	750	750
-46.7	PB	PHI @ TB	Mike Evans	ftd	-	+600	600	-	700	613/-1952	600	650
-48.5	BR	PIT @ BUF	James Cook	ftd	-	+550	-	-	-	574/-1696	575	500
-48.9	DK	PHI @ TB	Chris Godwin	ftd	-	+1400	1200	-	1300	825/-3950	1000	900
-53.0	MGM	PHI @ TB	Dallas Goedert	ftd	-	+1200	1300	-	-	839/-4120	1000	900
-59.0	PB	PIT @ BUF	Khalil Shakir	ftd	-	+1100	1100	-	1300	892/-4867	1000	1000
-84.4	DK	PIT @ BUF	Jaylen Warren	ftd	-	+1500	1400	-	1400	-	1000	1100
