Team	Player	AVG PTS	WK8 PTS	SZN Snap %	WK8 Snap %	RB RZ Look Share	WK8 RB RZ Share	RB Target Share	WK8 RB Target Share
ARI	Emari Demercado	5.4	8.4	41%	55%	27%	100%	50%	33%
ARI	Keaontay Ingram	2.2	2.1	23%	38%	18%	0%	22%	33%
ARI	Damien Williams	2.2	1.4	13%	4%	0%	0%	17%	33%
ARI	James Conner	11.1	0	61%	0	75%	-%	50%	-%
-	-	-	-	-	-	-	-	-	-
ATL	Bijan Robinson	12.1	12.2	65%	74%	32%	67%	69%	100%
ATL	Tyler Allgeier	7.3	3.1	38%	22%	59%	33%	24%	0%
ATL	Cordarrelle Patterson	2.1	0.7	16%	18%	12%	0%	6%	0%
ATL	Godwin Igwebuike	0	0	2%	0	0%	-%	0%	-%
ATL	Keith Smith	0.7	0	22%	6%	2%	0%	4%	0%
-	-	-	-	-	-	-	-	-	-
BAL	Gus Edwards	10.8	28.4	48%	52%	47%	86%	19%	33%
BAL	Justice Hill	7.6	7.5	42%	48%	44%	14%	48%	67%
BAL	Keaton Mitchell	1.4	0	3%	0	0%	-%	20%	-%
BAL	Kenyan Drake	4.1	0	8%	0	0%	-%	33%	-%
BAL	Melvin Gordon	5.7	0	30%	0	50%	-%	30%	-%
BAL	Patrick Ricard	2.3	0	38%	54%	3%	0%	11%	0%
-	-	-	-	-	-	-	-	-	-
BUF	James Cook	11.1	7.8	56%	67%	41%	60%	61%	50%
BUF	Latavius Murray	4.8	1.6	31%	33%	44%	40%	31%	50%
BUF	Damien Harris	3.0	0	15%	0	22%	-%	7%	-%
BUF	Reggie Gilliam	0.4	0	10%	3%	0%	0%	3%	0%
BUF	Ty Johnson	0.0	0	1%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
CAR	Chuba Hubbard	7.0	6.4	50%	67%	64%	83%	39%	50%
CAR	Raheem Blackshear	3.4	4.1	16%	15%	22%	17%	50%	50%
CAR	Miles Sanders	6.8	0.0	48%	18%	32%	0%	57%	0%
-	-	-	-	-	-	-	-	-	-
CHI	Darrynton Evans	7.1	11.5	37%	27%	36%	75%	33%	36%
CHI	Roschon Johnson	5.7	4.6	32%	36%	44%	25%	36%	36%
CHI	Donta Foreman	11.6	4.1	42%	32%	39%	0%	28%	18%
CHI	Khalil Herbert	9.3	0	59%	0	50%	-%	53%	-%
CHI	Khari Blasingame	0.8	0.0	18%	21%	4%	0%	7%	9%
CHI	Travis Homer	0.0	0	3%	2%	0%	0%	4%	0%
-	-	-	-	-	-	-	-	-	-
CIN	Joe Mixon	11.4	18.5	74%	75%	93%	100%	71%	100%
CIN	Trayveon Williams	0.8	0.6	18%	17%	3%	0%	18%	0%
CIN	Chase Brown	0.6	0	3%	0	4%	-%	12%	-%
CIN	Chris Evans	1.6	0	7%	6%	0%	0%	5%	0%
-	-	-	-	-	-	-	-	-	-
CLE	Kareem Hunt	9.7	13.2	28%	35%	64%	60%	31%	25%
CLE	Pierre Strong	3.6	8.7	17%	31%	28%	40%	6%	25%
CLE	Jerome Ford	11.5	4.4	48%	33%	15%	0%	60%	50%
-	-	-	-	-	-	-	-	-	-
DAL	Tony Pollard	12.2	6.0	69%	65%	73%	100%	67%	25%
DAL	Rico Dowdle	4.0	3.5	19%	35%	15%	0%	18%	50%
DAL	Hunter Luepke	2.3	0.3	13%	9%	4%	0%	4%	25%
DAL	Deuce Vaughn	2.1	0	18%	0%	12%	-%	19%	-%
-	-	-	-	-	-	-	-	-	-
DEN	Javonte Williams	8.3	17.3	43%	63%	50%	92%	41%	38%
DEN	Jaleel Mclaughlin	7.2	4.9	21%	11%	31%	8%	22%	25%
DEN	Samaje Perine	5.6	3.1	37%	24%	25%	0%	41%	38%
DEN	Dwayne Washington	0.0	0	1%	1%	0%	0%	0%	0%
DEN	Michael Burton	0.2	0	17%	20%	0%	0%	2%	0%
-	-	-	-	-	-	-	-	-	-
DET	Jahmyr Gibbs	13.7	27.4	55%	70%	33%	50%	85%	83%
DET	Craig Reynolds	4.4	9.1	24%	28%	18%	50%	10%	17%
DET	David Montgomery	16.8	0	59%	0	81%	-%	32%	-%
DET	Devine Ozigbo	1.8	0	6%	2%	0%	0%	10%	0%
DET	Jason Cabinda	0.0	0	13%	0	0%	-%	0%	-%
DET	Zonovan Knight	1.3	0	6%	0	0%	-%	11%	-%
-	-	-	-	-	-	-	-	-	-
GB	Aj Dillon	6.8	7.7	58%	51%	48%	43%	31%	50%
GB	Aaron Jones	10.3	6.6	42%	51%	57%	57%	55%	50%
GB	Emanuel Wilson	2.0	0	8%	0	6%	-%	14%	-%
