NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Shane Pinto	OTT	-148	A	0.5	1.0	*100%* - 0%	*100%* - 0%	100%	100%	100%	1	0%	'+290	'+270/-375	290 FD	25.64102564102564%
Nikita Kucherov	TB	-108	A	0.5	1.04	*75%* - 55%	*67%* - 64%	65%	60%	80%	1,1,1,2,0,2,3,3,0,1	68%	-220	-195/+150	-195 DK	66.10169491525424%
Mats Zuccarello	MIN	-162	H	0.5	0.73	*81%* - 48%	65% - *59%*	62%	40%	60%	0,1,0,1,0,0,1,1,1,0	52%	-148	-145/+114	-145 DK	59.183673469387756%
Victor Hedman	TB	-108	A	0.5	0.8	*61%* - 50%	*50%* - 61%	56%	40%	20%	2,2,0,0,0,0,0,3,0,0	39%	-138	-120/-110	-120 DK	54.54545454545454%
Jason Robertson	DAL	-142	A	0.5	0.7	*67%* - 37%	*45%* - 62%	54%	47%	60%	0,1,0,0,1,1,2,0,2,0	51%	-136	-115/-115	-115 DK	53.48837209302325%
Mark Stone	VGK	'130	A	0.5	0.72	67% - *35%*	*41%* - 64%	53%	60%	80%	0,1,1,0,1,1,0,2,1,2	44%	-113	-120/-110	-113 FD	53.051643192488264%
Kirill Kaprizov	MIN	-162	H	0.5	0.62	*63%* - 40%	52% - *50%*	51%	53%	60%	0,2,0,1,1,0,1,1,1,0	40%	-111	-110/-120	-110 DK	52.38095238095239%
Tim Stutzle	OTT	-148	A	0.5	0.79	*65%* - 40%	*50%* - 50%	50%	27%	40%	1,0,0,0,0,4,0,2,0,0	48%	0	'+105/-135	105 DK	48.78048780487805%
Matt Duchene	DAL	-142	A	0.5	0.58	*44%* - 56%	*41%* - 57%	49%	40%	20%	2,1,0,0,1,0,0,1,0,0	34%	'+154	'+145/-190	154 FD	39.37007874015748%
Dylan Larkin	DET	'120	H	0.5	0.57	50% - *44%*	37% - *57%*	48%	47%	60%	1,0,1,0,1,0,1,0,1,1	49%	'+110	'+110/-140	110 DK	47.61904761904761%
Brandon Hagel	TB	-108	A	0.5	0.53	*46%* - 43%	*42%* - 48%	45%	40%	40%	1,0,0,1,1,0,0,1,2,0	41%	'+162	'+165/-215	165 DK	37.735849056603776%
