EV	EV Book	Imp	Game	Player	Prop	FD	DK	MGM	Bet365	Kambi/BR	ESPN
189.9	10000 ESPN	1%	WPG @ STL	Philip Broberg	fgs	-	-	-	'+4000	-	'+10000
168.5	8000 ESPN	1%	WPG @ STL	Tyler Tucker	fgs	-	-	-	'+3500	-	'+8000
141.6	10000 ESPN	1%	VGK @ MIN	Zach Bogosian	fgs	-	-	-	'+5000	-	'+10000
141.6	10000 ESPN	1%	VGK @ MIN	Jonas Brodin	fgs	-	-	-	'+5000	-	'+10000
115.9	4000 DK	2%	LA @ EDM	Viktor Arvidsson	fgs	'+2000	'+4000	-	'+2500	-	-
107.0	6600 ESPN	1%	VGK @ MIN	Zeev Buium	fgs	-	-	-	'+4000	-	'+6600
107.0	6600 ESPN	1%	VGK @ MIN	Justin Brazeau	fgs	-	-	-	'+4000	-	'+6600
105.8	6000 DK	2%	WSH @ MTL	Rasmus Sandin	fgs	'+5000	'+6000	-	'+2500	-	-
102.3	4000 DK	2%	CAR @ NJ	Tomas Tatar	fgs	'+3100	'+4000	-	'+1800	-	-
101.3	10000 FD	1%	LA @ EDM	Brett Kulak	fgs	'+10000	'+7000	-	'+5000	-	-
101.1	4500 DK	2%	LA @ EDM	Connor Brown	fgs	'+3600	'+4500	-	'+2200	-	-
99.3	5500 DK	2%	LA @ EDM	Vasily Podkolzin	fgs	'+3100	'+5500	-	'+3500	-	-
96.6	10000 DK	1%	WSH @ MTL	Jayden Struble	fgs	-	'+10000	-	'+6500	-	-
96.6	10000 ESPN	1%	WPG @ STL	Nick Leddy	fgs	-	-	-	'+6500	-	'+10000
96.6	10000 ESPN	1%	VGK @ MIN	Zach Whitecloud	fgs	-	-	-	'+6500	-	'+10000
96.6	10000 ESPN	1%	VGK @ MIN	Brayden Mcnabb	fgs	-	-	-	'+6500	-	'+10000
96.6	10000 ESPN	1%	TOR @ OTT	Tyler Kleven	fgs	-	-	-	'+6500	-	'+10000
96.6	10000 ESPN	1%	TOR @ OTT	Jake Mccabe	fgs	-	-	-	'+6500	-	'+10000
96.6	10000 ESPN	1%	TOR @ OTT	Brandon Carlo	fgs	-	-	-	'+6500	-	'+10000
96.3	3000 DK	3%	CAR @ NJ	Logan Stankoven	fgs	'+2000	'+3000	-	'+1800	-	-
93.5	5000 ESPN	2%	WPG @ STL	Alexei Toropchenko	fgs	-	-	-	'+3300	-	'+5000
93.5	3800 ESPN	3%	VGK @ MIN	Gustav Nyquist	fgs	-	-	-	'+2500	-	'+3800
93.0	10000 FD	1%	LA @ EDM	Jordan Spence	fgs	'+10000	'+7000	-	'+6500	-	-
91.2	8000 DK	1%	WSH @ MTL	Kaiden Guhle	fgs	'+6500	'+8000	-	'+4000	-	-
86.4	2900 ESPN	3%	TOR @ OTT	David Perron	fgs	-	-	-	'+2000	-	'+2900
86.3	10000 DK	1%	WSH @ MTL	Alexandre Carrier	fgs	'+7000	'+10000	-	'+6500	-	-
85.8	6000 DK	2%	WSH @ MTL	Mike Matheson	fgs	'+4100	'+6000	-	'+4000	-	-
85.2	5000 ESPN	2%	TOR @ OTT	Nick Cousins	fgs	-	-	-	'+3500	-	'+5000
84.3	4000 DK	2%	WSH @ MTL	Jakob Chychrun	fgs	'+3000	'+4000	-	'+2500	-	-
82.6	11000 FD	1%	WSH @ MTL	David Savard	fgs	'+11000	'+10000	-	'+6500	-	-
82.6	3000 DK	3%	WSH @ MTL	Anthony Beauvillier	fgs	'+2200	'+3000	-	'+2000	-	-
82.6	11000 FD	1%	CAR @ NJ	Johnathan Kovacevic	fgs	'+11000	'+10000	-	'+6500	-	-
82.4	5500 DK	2%	LA @ EDM	Trent Frederic	fgs	'+4400	'+5500	-	'+3500	-	-
81.6	4500 DK	2%	WSH @ MTL	John Carlson	fgs	'+3500	'+4500	-	-	-	-
81.6	4000 DK	2%	LA @ EDM	Evan Bouchard	fgs	'+3200	'+4000	-	'+2500	-	-
81.5	3200 FD	3%	LA @ EDM	Corey Perry	fgs	'+3200	'+2500	-	'+2200	-	-
81.5	7000 DK	1%	CAR @ NJ	Jaccob Slavin	fgs	'+4700	'+7000	-	'+5000	-	-
80.7	3000 DK	3%	CAR @ NJ	Stefan Noesen	fgs	'+2300	'+3000	-	'+2000	-	-
80.2	2500 DK	4%	LA @ EDM	Andrei Kuzmenko	fgs	'+2200	'+2500	-	'+1400	-	-
79.8	1600 DK	6%	CAR @ NJ	Sebastian Aho	fgs	'+1100	'+1600	-	-	-	-
79.0	3000 DK	3%	LA @ EDM	Trevor Moore	fgs	'+2400	'+3000	-	'+2000	-	-
79.0	3000 DK	3%	CAR @ NJ	Jesperi Kotkaniemi	fgs	'+2400	'+3000	-	'+2000	-	-
78.0	6000 DK	2%	WSH @ MTL	Nic Dowd	fgs	'+4900	'+6000	-	'+4000	-	-
78.0	6000 DK	2%	WSH @ MTL	Brandon Duhaime	fgs	'+4900	'+6000	-	'+4000	-	-
77.4	3000 DK	3%	LA @ EDM	Warren Foegele	fgs	'+2500	'+3000	-	'+2000	-	-
76.9	4500 DK	2%	LA @ EDM	Drew Doughty	fgs	'+3200	'+4500	-	'+4000	-	-
76.3	2500 DK	4%	WSH @ MTL	Brendan Gallagher	fgs	'+1700	'+2500	-	'+2000	-	-
76.1	4600 FD	2%	WSH @ MTL	Taylor Raddysh	fgs	'+4600	'+4500	-	'+2500	-	-
75.2	3000 DK	3%	LA @ EDM	Alex Laferriere	fgs	'+2100	'+3000	-	'+2500	-	-
74.9	6600 ESPN	1%	TOR @ OTT	Steven Lorentz	fgs	-	-	-	'+5000	-	'+6600
74.9	6600 ESPN	1%	TOR @ OTT	Artem Zub	fgs	-	-	-	'+5000	-	'+6600
74.0	2900 ESPN	3%	TOR @ OTT	Ridly Greig	fgs	-	-	-	'+2200	-	'+2900
73.8	3000 DK	3%	LA @ EDM	Anze Kopitar	fgs	'+2500	'+3000	-	'+2000	-	-
73.0	4500 DK	2%	CAR @ NJ	Eric Robinson	fgs	'+3500	'+4500	-	'+4000	-	-
72.5	6500 FD	2%	LA @ EDM	Mattias Janmark	fgs	'+6500	'+6000	-	'+4000	-	-
72.1	1600 DK	6%	LA @ EDM	Zach Hyman	fgs	'+1100	'+1600	-	'+1400	-	-
71.7	2500 DK	4%	WSH @ MTL	Pierre Luc Dubois	fgs	'+1800	'+2500	-	'+2000	-	-
71.2	1600 DK	6%	LA @ EDM	Kevin Fiala	fgs	'+1300	'+1600	-	'+1200	-	-
71.0	7000 FD	1%	LA @ EDM	Darnell Nurse	fgs	'+7000	'+6000	-	'+5000	-	-
70.8	1300 ESPN	7%	TOR @ OTT	William Nylander	fgs	-	-	-	'+1000	-	'+1300
70.8	8500 FD	1%	LA @ EDM	Mikey Anderson	fgs	'+8500	'+7000	-	'+6500	-	-
70.4	2200 DK	4%	LA @ EDM	Quinton Byfield	fgs	'+1800	'+2200	-	'+1600	-	-
70.4	7500 FD	1%	CAR @ NJ	Sean Walker	fgs	'+7500	'+7000	-	'+5000	-	-
69.7	6000 FD	2%	WSH @ MTL	Emil Heineman	fgs	'+6000	'+6000	-	'+3500	-	-
68.7	9000 FD	1%	LA @ EDM	Joel Edmundson	fgs	'+9000	'+8000	-	'+6500	-	-
68.3	6000 DK	2%	WSH @ MTL	Jake Evans	fgs	'+4900	'+6000	-	'+5000	-	-
68.2	10000 ESPN	1%	TOR @ OTT	Simon Benoit	fgs	-	-	-	'+8000	-	'+10000
68.2	10000 ESPN	1%	TOR @ OTT	Nikolas Matinpalo	fgs	-	-	-	'+8000	-	'+10000
68.2	10000 ESPN	1%	TOR @ OTT	Christopher Tanev	fgs	-	-	-	'+8000	-	'+10000
68.0	4000 DK	2%	CAR @ NJ	Shayne Gostisbehere	fgs	'+3300	'+4000	-	'+3300	-	-
67.9	5000 ESPN	2%	WPG @ STL	Jaret Anderson Dolan	fgs	-	-	-	'+4000	-	'+5000
67.9	5000 ESPN	2%	VGK @ MIN	Yakov Trenin	fgs	-	-	-	'+4000	-	'+5000
67.9	5000 ESPN	2%	VGK @ MIN	Keegan Kolesar	fgs	-	-	-	'+4000	-	'+5000
67.9	5000 ESPN	2%	VGK @ MIN	Jared Spurgeon	fgs	-	-	-	'+4000	-	'+5000
