NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Aaron Ekblad	FLA	-340	H	sog	2.5	2.12	'33%' - 29%	37% - '27%'	32%	3,2,1,2,1,3,1,7,2,2	39%	'+120	-150
Adam Henrique	ANA	-135	A	ast	0.5	0.39	'45%' - 30%	'45%' - 25%	35%	1,1,0,0,0,0,0,2,1,2	23%	'+150	-195
Adam Henrique	ANA	-135	A	pts	0.5	0.67	'75%' - 38%	'59%' - 43%	51%	1,1,0,1,0,0,0,2,1,2	48%	-135	'+105
Adam Henrique	ANA	-135	A	sog	2.5	1.89	'35%' - 19%	'17%' - 32%	25%	4,0,2,2,2,3,0,2,2,4	35%	'+114	-145
Adam Lowry	WPG	'114	A	ast	0.5	0.3	32% - '5%'	'11%' - 33%	23%	0,0,0,2,0,0,0,0,0,0	26%	'+240	-330
Adam Lowry	WPG	'114	A	pts	0.5	0.44	49% - '10%'	'33%' - 37%	35%	0,0,0,2,0,0,0,0,0,0	42%	'+145	-190
Aleksander Barkov	FLA	-340	H	ast	0.5	0.79	'58%' - 41%	62% - '42%'	53%	0,0,0,0,1,2,0,2,0,0	52%	-175	'+135
Aleksander Barkov	FLA	-340	H	pts	1.5	1.04	'36%' - 18%	34% - '25%'	30%	0,1,0,0,1,2,0,3,0,0	32%	'+150	-195
Aleksander Barkov	FLA	-340	H	sog	2.5	2.77	'56%' - 59%	55% - '58%'	57%	3,4,4,3,0,2,1,3,1,2	51%	-140	'+110
Alex Debrincat	DET	-112	H	ast	0.5	0.51	'58%' - 31%	43% - '48%'	46%	0,1,1,0,1,1,0,1,0,0	41%	'+154	-200
Alex Debrincat	DET	-112	H	pts	0.5	0.9	'64%' - 46%	50% - '61%'	56%	1,2,3,0,1,1,0,2,0,0	63%	-145	'+114
Alex Debrincat	DET	-112	H	sog	2.5	2.78	'45%' - 69%	43% - '68%'	56%	5,2,4,4,0,3,2,4,1,2	54%	-135	'+105
Alex Killorn	ANA	-135	A	ast	0.5	0.36	'50%' - 21%	'22%' - 33%	28%	0,0,0,0,1,0,0,0,0,2	36%	'+145	-190
Alex Killorn	ANA	-135	A	pts	0.5	0.54	'60%' - 31%	'28%' - 48%	38%	0,0,1,0,1,0,2,0,0,2	57%	-130	'+100
Alex Killorn	ANA	-135	A	sog	2.5	2.28	'40%' - 41%	'33%' - 48%	41%	3,0,4,0,2,3,5,1,0,0	25%	'+120	-150
Alex Laferriere	LA	'124	A	sog	1.5	1.95	57% - '69%'	'65%' - 62%	63%	2,3,0,1,2,2,2,1,3,1	0%	-180	'+140
Alex Pietrangelo	VGK	'136	A	ast	0.5	0.46	57% - '15%'	'22%' - 52%	37%	1,0,0,0,1,0,2,0,1,1	41%	'+150	-195
Alex Pietrangelo	VGK	'136	A	pts	0.5	0.52	61% - '19%'	'22%' - 59%	41%	1,0,0,1,1,0,2,0,1,1	46%	'+120	-150
Alex Pietrangelo	VGK	'136	A	sog	1.5	2.28	68% - '65%'	'59%' - 74%	67%	4,0,2,1,0,3,4,2,1,2	67%	-195	'+150
Alex Tuch	BUF	'136	A	ast	0.5	0.44	50% - '21%'	'37%' - 32%	35%	1,0,0,0,0,1,0,1,0,0	46%	'+145	-190
Alex Tuch	BUF	'136	A	pts	0.5	0.75	75% - '29%'	'63%' - 36%	50%	1,0,0,1,0,1,0,2,0,0	65%	-130	'+100
Alex Tuch	BUF	'136	A	sog	2.5	2.5	50% - '39%'	'48%' - 40%	44%	1,1,0,2,1,3,3,4,6,1	60%	'+110	-140
Alex Wennberg	SEA	-118	H	ast	0.5	0.26	'32%' - 21%	20% - '32%'	26%	1,0,0,0,1,0,0,1,0,0	27%	'+175	-230
Alex Wennberg	SEA	-118	H	pts	0.5	0.4	'56%' - 27%	37% - '43%'	40%	1,0,0,0,1,0,0,1,0,0	35%	'+114	-145
Anders Lee	NYI	-108	A	ast	0.5	0.14	'17%' - 9%	'21%' - 3%	12%	0,0,0,1,0,0,0,0,1,0	22%	'+280	-395
Anders Lee	NYI	-108	A	pts	0.5	0.4	'42%' - 26%	'43%' - 23%	33%	0,1,0,1,1,0,0,0,1,0	45%	'+130	-166
Anders Lee	NYI	-108	A	sog	2.5	2.33	'38%' - 41%	'32%' - 47%	40%	2,4,3,1,5,0,1,0,2,2	42%	'+110	-140
Andrei Vasilevskiy	TB	-162	H	saves	27.5	25.26	'50%' - 13%	39% - '29%'	34%	25,32,19,24,16,28,36,33,21,21	44%	-115	-115
Anthony Stolarz	FLA	-340	H	saves	24.5	22.61	'50%' - 12%	45% - '14%'	33%	22,45,23,21,26,9,21,29,18,22	61%	-125	-105
Anton Lundell	FLA	-340	H	ast	0.5	0.29	'32%' - 12%	22% - '29%'	25%	0,0,0,0,1,1,0,0,0,0	24%	'+210	-280
Anton Lundell	FLA	-340	H	pts	0.5	0.44	'39%' - 18%	30% - '36%'	33%	0,0,0,1,1,2,2,0,0,0	34%	'+124	-160
Anton Lundell	FLA	-340	H	sog	1.5	2.04	'58%' - 53%	63% - '50%'	56%	1,0,1,1,1,4,2,2,2,2	59%	-175	'+135
Anze Kopitar	LA	'124	A	ast	0.5	0.53	48% - '45%'	'55%' - 37%	47%	1,1,0,1,0,1,0,0,0,1	36%	'+130	-166
Anze Kopitar	LA	'124	A	pts	0.5	0.83	76% - '55%'	'77%' - 52%	66%	1,1,0,1,0,1,1,1,0,1	53%	-135	'+105
Arthur Kaliyev	LA	'124	A	sog	1.5	2.14	74% - '57%'	'68%' - 63%	66%	0,4,2,3,2,1,2,1,0,3	0%	-175	'+135
Artturi Lehkonen	COL	-270	A	ast	0.5	0.4	'29%' - 27%	'21%' - 36%	28%	1,0,0,0,0,1,2,0,0,1	39%	'+145	-190
Artturi Lehkonen	COL	-270	A	pts	0.5	0.76	'50%' - 36%	'29%' - 64%	44%	2,1,0,1,0,2,4,0,0,1	56%	-150	'+120
Artturi Lehkonen	COL	-270	A	sog	2.5	2.28	'57%' - 18%	'43%' - 36%	40%	1,3,0,2,1,1,5,1,3,1	38%	'+140	-180
Auston Matthews	TOR	-230	H	ast	0.5	0.44	'38%' - 40%	47% - '30%'	39%	0,1,0,0,1,2,0,0,1,1	45%	-105	-125
Auston Matthews	TOR	-230	H	pts	1.5	1.35	'47%' - 36%	40% - '44%'	42%	0,1,1,2,2,5,3,0,2,2	31%	'+130	-166
Auston Matthews	TOR	-230	H	sog	4.5	4.3	'34%' - 44%	33% - '44%'	39%	2,4,6,4,3,4,6,2,6,5	47%	-110	-125
Bo Horvat	NYI	-108	A	ast	0.5	0.47	'46%' - 33%	'39%' - 38%	39%	0,0,0,1,0,0,0,1,0,0	27%	'+110	-140
Bo Horvat	NYI	-108	A	pts	0.5	0.88	'71%' - 52%	'61%' - 59%	60%	1,0,0,1,1,0,0,2,0,0	54%	-200	'+154
Bo Horvat	NYI	-108	A	sog	2.5	3.16	'58%' - 61%	'61%' - 59%	60%	7,1,5,3,2,4,3,4,3,3	55%	-175	'+135
Bobby Mcmann	TOR	-230	H	sog	1.5	1.74	'48%' - 46%	39% - '56%'	47%	2,4,3,1,2,4,1,6,0,1	50%	-180	'+140
