NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Alex Killorn	ANA	'160	H	1.5	2.44	57% - *75%*	70% - *71%*	70%	73%	80%	1,4,2,3,1,2,0,2,2,4	52%	-170/+130	-195/+150	-170 FD	62.96296296296296%
Frank Vatrano	ANA	'160	H	2.5	3.46	62% - *71%*	56% - *76%*	68%	53%	80%	3,0,4,2,2,4,1,3,4,5	57%	-152/+116	-145/+114	-145 DK	59.183673469387756%
Cole Perfetti	WPG	-192	A	1.5	2.24	*58%* - 85%	*53%* - 80%	68%	67%	60%	1,2,2,4,2,4,6,0,3,1	50%	-205/+154	-195/+150	-195 DK	66.10169491525424%
Connor Bedard	CHI	'340	A	2.5	3.11	73% - *59%*	*67%* - 59%	63%	60%	60%	3,5,6,3,2,5,3,2,0,3	0%	-146/+112	-150/+120	-146 FD	59.34959349593496%
Jordan Martinook	CAR	-180	A	1.5	2.0	*57%* - 71%	*68%* - 56%	63%	33%	20%	1,1,0,3,0,0,0,0,1,5	67%	-160/+122	-160/+124	-160 DK	61.53846153846154%
Nick Foligno	CHI	'340	A	1.5	1.92	55% - *63%*	*62%* - 59%	61%	60%	40%	3,4,0,2,2,0,1,3,1,2	39%	-122/-106	-110/-120	100 BR	50.0%
Jaccob Slavin	CAR	-180	A	1.5	2.18	*48%* - 76%	*68%* - 50%	61%	53%	20%	3,3,1,0,4,4,1,0,1,1	52%	-148/+116	-140/+110	-140 DK	58.333333333333336%
Sebastian Aho	CAR	-180	A	2.5	2.97	*60%* - 53%	*58%* - 56%	57%	47%	20%	3,3,3,7,1,1,2,2,4,1	54%	-130/+100	-125/-105	-112 BR	52.83018867924528%
Philipp Kurashev	CHI	'340	A	1.5	1.68	50% - *57%*	*62%* - 47%	55%	47%	60%	2,1,1,0,2,2,3,2,1,1	0%	-138/+106	-125/-105	-118 BR	54.12844036697248%
Teuvo Teravainen	CAR	-180	A	1.5	1.97	*67%* - 41%	*59%* - 50%	55%	33%	40%	2,0,0,1,3,2,3,1,0,1	55%	-160/+122	-145/+114	-145 DK	59.183673469387756%
Neal Pionk	WPG	-192	A	1.5	1.81	*54%* - 54%	*59%* - 50%	54%	53%	40%	2,1,3,2,3,4,0,1,1,3	45%	-152/+116	-160/+124	-152 FD	60.317460317460316%
Mark Scheifele	WPG	-192	A	2.5	2.35	*58%* - 46%	*65%* - 45%	54%	47%	20%	4,1,3,3,3,1,1,3,1,0	49%	'+100/-130	-105/-125	110 BR	47.61904761904761%
