NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
David Pastrnak	BOS	-255	A	ast	0.5	0.59	52% - 41%	49% - 50%	49%	40%	40%	1,0,1,0,0,0,0,0,1,0	43%	'+115	-145
Brad Marchand	BOS	-255	A	ast	0.5	0.61	52% - 25%	37% - 54%	46%	33%	0%	0,0,0,0,0,0,1,0,1,2	51%	'+120	-150
Mikko Rantanen	COL	-300	A	ast	0.5	0.59	52% - 30%	46% - 41%	44%	53%	60%	0,1,2,3,0,1,1,0,0,1	56%	-175	'+140
Hampus Lindholm	BOS	-255	A	ast	0.5	0.55	44% - 31%	38% - 45%	42%	47%	60%	1,0,1,0,1,0,1,0,2,0	26%	'+120	-150
Trevor Zegras	ANA	'+250	H	ast	0.5	0.5	52% - 36%	42% - 39%	41%	40%	40%	1,0,1,0,0,1,0,0,0,0	35%	'+145	-180
Valeri Nichushkin	COL	-300	A	ast	0.5	0.57	36% - 54%	25% - 56%	41%	40%	20%	1,0,0,0,0,0,0,2,1,1	33%	-115	-115
Devon Toews	COL	-300	A	ast	0.5	0.5	47% - 28%	42% - 37%	39%	40%	80%	1,1,2,0,1,0,1,0,0,0	43%	'+100	-130
Travis Konecny	PHI	'+215	H	ast	0.5	0.47	45% - 31%	42% - 31%	37%	13%	0%	0,0,0,0,0,1,1,0,0,0	40%	'+150	-185
Kevin Hayes	PHI	'+215	H	ast	0.5	0.45	46% - 29%	38% - 32%	35%	13%	0%	0,0,0,0,0,1,0,0,0,0	38%	'+220	-280
Cam Fowler	ANA	'+250	H	ast	0.5	0.44	48% - 29%	34% - 34%	34%	33%	40%	1,0,1,0,0,0,0,0,0,0	38%	'+150	-185
Jt Compher	COL	-300	A	ast	0.5	0.45	40% - 23%	36% - 31%	33%	40%	60%	1,0,0,1,1,0,0,0,1,1	17%	-110	-120
Patrice Bergeron	BOS	-255	A	ast	0.5	0.39	37% - 18%	36% - 30%	33%	27%	0%	0,0,0,0,0,1,1,2,1,0	39%	'+180	-220
Jake Debrusk	BOS	-255	A	ast	0.5	0.38	27% - 42%	41% - 21%	30%	13%	0%	0,0,0,0,0,1,0,0,0,0	21%	'+210	-265
Evan Rodrigues	COL	-300	A	ast	0.5	0.32	33% - 23%	30% - 28%	29%	27%	20%	0,1,0,0,0,1,0,0,1,0	25%	'+165	-205
Joel Farabee	PHI	'+215	H	ast	0.5	0.29	43% - 20%	28% - 29%	28%	33%	40%	0,0,0,1,1,0,1,1,1,0	19%	'+215	-270
Scott Laughton	PHI	'+215	H	ast	0.5	0.32	50% - 13%	26% - 28%	27%	20%	20%	0,0,1,0,0,0,1,0,0,0	22%	'+270	-350
Nathan Mackinnon	COL	-300	A	ast	1.5	1.0	38% - 8%	31% - 23%	27%	27%	20%	0,3,1,0,0,1,0,2,1,1	16%	'+185	-230
Ryan Strome	ANA	'+250	H	ast	0.5	0.3	30% - 25%	29% - 24%	27%	20%	20%	2,0,0,0,0,0,0,0,0,0	42%	'+210	-265
Owen Tippett	PHI	'+215	H	ast	0.5	0.27	36% - 21%	22% - 31%	26%	20%	20%	0,1,0,0,0,0,1,0,0,2	18%	'+190	-235
Noah Cates	PHI	'+215	H	ast	0.5	0.29	36% - 18%	22% - 26%	24%	33%	20%	0,0,0,0,1,0,1,1,2,1	25%	'+235	-300
Adam Henrique	ANA	'+250	H	ast	0.5	0.25	35% - 19%	24% - 23%	24%	20%	20%	0,1,0,0,0,0,0,2,0,0	38%	'+245	-315
Frank Vatrano	ANA	'+250	H	ast	0.5	0.24	35% - 18%	20% - 27%	23%	20%	20%	0,0,1,0,0,0,0,0,0,0	22%	'+240	-305
Mason Mctavish	ANA	'+250	H	ast	0.5	0.32	40% - 16%	24% - 23%	23%	13%	0%	0,0,0,0,0,0,1,0,0,0	11%	'+275	-355
Morgan Frost	PHI	'+215	H	ast	0.5	0.31	25% - 20%	21% - 24%	22%	33%	20%	0,0,0,1,0,1,0,1,1,2	21%	'+240	-305
