NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Matt Roy	LA	'+140	A	bs	1.5	1.88	1.9 - 1.64	1.92 - 1.84	62%	60%	80%	0,2,3,5,2,2,2,3,4,1	0%	-145	'+115
Mario Ferraro	SJ	'+155	H	bs	1.5	2.0	2.18 - 1.88	2.03 - 1.97	62%	53%	40%	4,1,3,1,1,1,2,4,2,2	0%	-160	'+130
Alec Martinez	VGK	-180	A	bs	2.5	3.23	3.37 - 2.93	3.0 - 3.44	61%	60%	60%	3,5,2,6,1,5,2,2,4,5	0%	-120	-110
Jonas Siegenthaler	NJ	-135	H	bs	1.5	1.9	1.86 - 1.89	1.92 - 1.89	59%	53%	60%	1,3,0,3,5,0,3,4,3,1	0%	-125	-105
Connor Murphy	CHI	'+120	H	bs	1.5	1.94	2.03 - 1.84	1.97 - 1.92	58%	33%	60%	1,4,1,4,2,1,1,1,0,2	0%	-105	-125
Mikhail Sergachev	TB	'+170	H	bs	1.5	1.93	1.67 - 2.25	2.32 - 1.53	58%	27%	40%	1,3,0,1,2,0,1,2,1,0	0%	-125	-105
Adam Larsson	SEA	-330	H	bs	1.5	2.14	2.14 - 1.92	2.08 - 2.2	58%	47%	40%	1,2,1,7,1,5,2,4,1,3	0%	-135	'+105
Charlie Mcavoy	BOS	-450	H	bs	1.5	1.97	2.0 - 1.66	2.13 - 1.8	57%	47%	40%	2,2,1,1,0,1,2,7,4,0	0%	-155	'+125
Victor Hedman	TB	'+170	H	bs	1.5	1.77	1.67 - 1.92	1.7 - 1.85	54%	47%	40%	0,3,0,0,5,1,2,2,2,0	0%	-135	'+105
Darnell Nurse	EDM	-165	H	bs	1.5	1.99	1.97 - 1.93	1.89 - 2.08	52%	60%	60%	2,2,1,3,1,1,2,1,4,3	0%	-185	'+150
Ryan Graves	NJ	-135	H	bs	1.5	1.93	1.82 - 1.72	1.92 - 1.94	52%	47%	40%	1,4,1,2,0,3,3,0,1,3	0%	-135	'+105
Kris Letang	PIT	-200	H	bs	1.5	1.68	1.74 - 1.56	1.87 - 1.46	52%	33%	40%	3,1,1,2,0,1,1,0,3,1	0%	-105	-125
Marc-Edouard Vlasic	SJ	'+155	H	bs	1.5	1.48	1.38 - 1.43	1.61 - 1.35	51%	47%	40%	0,2,3,1,1,2,2,1,1,2	0%	-105	-125
Caleb Jones	CHI	'+120	H	bs	1.5	1.62	1.4 - 1.65	1.65 - 1.58	48%	40%	40%	1,5,1,1,2,0,1,1,2,1	0%	-140	'+110
Brian Dumoulin	PIT	-200	H	bs	1.5	1.74	1.56 - 1.81	1.92 - 1.56	46%	47%	80%	3,3,2,1,2,0,1,2,0,0	0%	'+100	-130
Moritz Seider	DET	'+185	H	bs	2.5	2.42	2.87 - 2.12	2.11 - 2.73	44%	47%	20%	1,0,2,1,3,3,2,4,4,3	0%	'+140	-175
Brayden Mcnabb	VGK	-180	A	bs	2.5	2.39	2.38 - 2.4	2.34 - 2.44	42%	47%	40%	2,4,4,0,1,0,2,3,3,1	0%	'+125	-155
Jaccob Slavin	CAR	-215	A	bs	1.5	1.46	1.48 - 1.41	1.34 - 1.57	39%	20%	20%	0,1,1,2,1,1,0,1,4,1	0%	'+140	-175
