NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Aatu Raty	VAN	'+100	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0	0%	'+380	0
Adam Boqvist	CBJ	'+155	H	g	0.5	0.12	0.21 - 0.07	0.12 - 0.12	10%	0,0,0,2,0,0,0,0,0,0	19%	'+500	0
Adam Erne	DET	'+230	A	g	0.5	0.14	0.13 - 0.15	0.08 - 0.2	14%	0,0,0,0,0,0,0,1,0,0	8%	'+600	0
Adam Fox	NYR	-135	A	sog	1.5	2.07	1.94 - 2.1	2.16 - 1.97	62%	4,2,2,3,3,0,2,3,1,0	64%	-160	'+130
Adam Fox	NYR	-135	A	pts	0.5	0.88	1.19 - 0.47	0.79 - 0.97	63%	1,0,2,0,1,1,1,1,1,1	67%	-155	'+125
Adam Fox	NYR	-135	A	ast	0.5	0.72	0.99 - 0.38	0.66 - 0.79	55%	0,0,2,0,0,1,1,1,1,1	57%	-130	'+100
Adam Fox	NYR	-135	A	g	0.5	0.16	0.2 - 0.09	0.13 - 0.18	16%	1,0,0,0,1,0,0,0,0,0	17%	'+400	0
Adam Lowry	WPG	-115	H	pts	0.5	0.42	0.55 - 0.23	0.36 - 0.49	37%	1,0,0,2,1,0,1,0,1,0	25%	'+145	-180
Adam Lowry	WPG	-115	H	ast	0.5	0.28	0.34 - 0.17	0.21 - 0.35	26%	1,0,0,1,0,0,0,0,1,0	9%	'+255	-325
Adam Lowry	WPG	-115	H	g	0.5	0.14	0.21 - 0.06	0.15 - 0.14	14%	0,0,0,1,1,0,1,0,0,0	17%	'+450	0
Adam Pelech	NYI	'+150	A	g	0.5	0.09	0.09 - 0.08	0.11 - 0.07	9%	0,0,0,0,0,0,0,0,0,0	4%	'+950	0
Adam Ruzicka	CGY	-520	H	g	0.5	0.14	0.2 - 0.03	0.11 - 0.18	11%	0,0,0,0,0,0,0,0,0,0	19%	'+340	0
Adrian Kempe	LA	-120	A	sog	3.5	3.0	2.92 - 2.85	2.79 - 3.21	33%	1,5,4,2,5,2,1,3,4,2	41%	'+135	-165
Adrian Kempe	LA	-120	A	pts	0.5	0.75	0.98 - 0.38	0.61 - 0.89	50%	0,0,0,2,1,3,0,0,1,0	47%	-150	'+120
Adrian Kempe	LA	-120	A	ast	0.5	0.28	0.35 - 0.14	0.21 - 0.34	26%	0,0,0,0,1,1,0,0,1,0	21%	'+185	-230
Adrian Kempe	LA	-120	A	g	0.5	0.47	0.63 - 0.24	0.39 - 0.55	34%	0,0,0,2,0,2,0,0,0,0	32%	'+150	0
Aj Greer	BOS	-215	A	g	0.5	0.05	0.09 - 0.0	0.05 - 0.05	5%	0,0,0,0,0,0,0,0,0,0	11%	'+450	0
Alex Chiasson	DET	'+230	A	g	0.5	0.38	0.47 - 0.29	0.43 - 0.33	38%	0,0,0,1,1,0,0,1,1,1	0%	'+350	0
Alex Debrincat	OTT	-180	A	sog	3.5	3.26	3.67 - 2.81	3.16 - 3.36	43%	2,5,3,3,5,3,1,1,6,4	33%	'+130	-160
Alex Debrincat	OTT	-180	A	pts	0.5	0.8	1.31 - 0.37	0.62 - 0.97	58%	0,1,1,0,3,0,0,0,0,1	64%	-190	'+155
Alex Debrincat	OTT	-180	A	ast	0.5	0.47	0.66 - 0.32	0.38 - 0.56	39%	0,0,0,0,1,0,0,0,0,1	34%	'+110	-140
Alex Debrincat	OTT	-180	A	g	0.5	0.33	0.64 - 0.04	0.24 - 0.41	28%	0,1,1,0,2,0,0,0,0,0	44%	'+135	0
Alex Iafallo	LA	-120	A	sog	2.5	2.26	2.05 - 2.41	2.3 - 2.23	42%	2,6,3,2,2,3,3,2,2,2	45%	'+105	-135
Alex Iafallo	LA	-120	A	pts	0.5	0.62	0.8 - 0.34	0.56 - 0.69	53%	2,0,0,1,1,1,0,0,1,1	39%	-105	-125
Alex Iafallo	LA	-120	A	ast	0.5	0.4	0.5 - 0.25	0.44 - 0.35	36%	2,0,0,0,0,1,0,0,0,1	24%	'+210	-265
Alex Iafallo	LA	-120	A	g	0.5	0.23	0.3 - 0.1	0.11 - 0.35	23%	0,0,0,1,1,0,0,0,1,0	18%	'+300	0
Alex Ovechkin	WSH	'+115	H	sog	3.5	4.11	4.25 - 3.93	4.25 - 3.97	54%	2,1,4,3,3,8,4,5,4,2	64%	-140	'+110
Alex Ovechkin	WSH	'+115	H	pts	0.5	1.03	1.45 - 0.7	0.92 - 1.15	61%	0,0,1,2,1,3,1,2,1,0	77%	-235	'+190
Alex Ovechkin	WSH	'+115	H	ast	0.5	0.43	0.6 - 0.28	0.31 - 0.56	34%	0,0,0,1,0,1,1,1,1,0	44%	'+125	-155
Alex Ovechkin	WSH	'+115	H	g	0.5	0.6	0.85 - 0.42	0.61 - 0.59	44%	0,0,1,1,1,2,0,1,0,0	52%	'+120	0
Alexander Alexeyev	WSH	'+115	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1200	0
Alexander Edler	LA	-120	A	g	0.5	0.03	0.03 - 0.04	0.03 - 0.03	3%	0,0,0,0,0,1,0,0,0,0	6%	'+1400	0
Alexander Kerfoot	TOR	-275	H	g	0.5	0.12	0.17 - 0.03	0.14 - 0.11	11%	0,0,1,0,1,0,0,0,0,0	14%	'+290	0
Alexander Romanov	NYI	'+150	A	g	0.5	0.03	0.03 - 0.02	0.05 - 0.0	3%	0,0,0,0,0,0,0,0,0,0	4%	'+1400	0
Alexei Toropchenko	STL	'+185	H	g	0.5	0.13	0.15 - 0.08	0.09 - 0.16	13%	0,1,1,0,0,1,0,0,0,0	5%	'+330	0
