NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
David Pastrnak	BOS	-135	A	g	0.5	0.71	0.76 - 0.48	0.7 - 0.71	57%	60%	80%	1,1,2,0,1,0,1,1,0,0	37%	'+100	0
Mikko Rantanen	COL	-140	H	g	0.5	0.65	0.77 - 0.5	0.56 - 0.74	50%	47%	20%	0,0,1,0,0,1,1,1,1,1	35%	-110	0
Jakub Vrana	STL	'+125	A	g	0.5	0.56	0.56 - 0.48	0.3 - 0.88	44%	47%	60%	1,2,0,1,0,0,1,0,2,1	35%	'+200	0
Nathan Mackinnon	COL	-140	H	g	0.5	0.51	0.62 - 0.34	0.45 - 0.57	44%	53%	40%	0,1,0,1,0,0,1,0,0,1	41%	-110	0
Jason Robertson	DAL	'+120	A	g	0.5	0.56	0.68 - 0.4	0.45 - 0.68	44%	33%	20%	1,0,0,0,0,2,0,0,1,0	37%	'+135	0
Jake Guentzel	PIT	'+115	H	g	0.5	0.48	0.69 - 0.29	0.5 - 0.46	41%	60%	80%	1,1,1,0,1,0,0,1,2,0	45%	'+130	0
Matthew Tkachuk	FLA	-225	A	g	0.5	0.52	0.73 - 0.33	0.5 - 0.54	40%	47%	40%	3,0,0,0,1,1,1,1,1,2	41%	-105	0
Jamie Benn	DAL	'+120	A	g	0.5	0.43	0.46 - 0.34	0.42 - 0.43	39%	53%	60%	1,0,0,1,1,0,0,1,1,0	20%	'+270	0
Sidney Crosby	PIT	'+115	H	g	0.5	0.41	0.56 - 0.29	0.32 - 0.51	37%	27%	40%	0,0,0,1,1,0,0,0,0,0	40%	'+160	0
Roope Hintz	DAL	'+120	A	g	0.5	0.51	0.63 - 0.33	0.39 - 0.62	37%	40%	40%	1,0,0,1,0,0,0,0,0,1	35%	'+185	0
Jake Debrusk	BOS	-135	A	g	0.5	0.42	0.48 - 0.15	0.36 - 0.47	37%	33%	20%	0,0,0,0,1,1,1,1,0,0	27%	'+175	0
Jordan Kyrou	STL	'+125	A	g	0.5	0.47	0.72 - 0.26	0.66 - 0.3	36%	33%	40%	1,0,2,0,0,0,0,1,0,1	33%	'+160	0
Pavel Buchnevich	STL	'+125	A	g	0.5	0.42	0.26 - 0.55	0.41 - 0.44	36%	27%	40%	1,1,0,0,0,0,0,3,0,0	29%	'+210	0
Carter Verhaeghe	FLA	-225	A	g	0.5	0.48	0.6 - 0.33	0.46 - 0.5	36%	20%	0%	0,0,0,0,0,0,2,0,2,0	26%	'+105	0
Boone Jenner	CBJ	'+190	H	g	0.5	0.4	0.8 - 0.19	0.31 - 0.48	35%	40%	40%	0,0,0,1,1,0,1,0,2,1	37%	'+165	0
Patrice Bergeron	BOS	-135	A	g	0.5	0.36	0.45 - 0.11	0.36 - 0.37	34%	40%	20%	0,0,1,0,0,1,1,0,0,0	31%	'+205	0
Valeri Nichushkin	COL	-140	H	g	0.5	0.36	0.41 - 0.22	0.48 - 0.25	33%	33%	40%	0,1,1,0,0,0,0,1,0,1	33%	'+175	0
Jason Zucker	PIT	'+115	H	g	0.5	0.37	0.47 - 0.22	0.32 - 0.41	32%	40%	40%	1,1,0,0,0,0,0,0,0,1	15%	'+215	0
Sam Reinhart	FLA	-225	A	g	0.5	0.37	0.47 - 0.24	0.33 - 0.41	32%	40%	20%	0,1,0,0,0,1,0,2,1,1	33%	'+120	0
Rickard Rakell	PIT	'+115	H	g	0.5	0.33	0.34 - 0.34	0.32 - 0.35	32%	27%	0%	0,0,0,0,0,1,0,1,0,1	24%	'+190	0
Kirill Marchenko	CBJ	'+190	H	g	0.5	0.39	0.59 - 0.29	0.42 - 0.35	31%	27%	40%	0,1,1,0,0,1,0,1,0,0	0%	'+195	0
Sammy Blais	STL	'+125	A	g	0.5	0.33	0.6 - 0.07	0.45 - 0.23	29%	33%	40%	0,0,0,1,1,0,0,2,0,0	0%	'+400	0
Brad Marchand	BOS	-135	A	g	0.5	0.3	0.28 - 0.34	0.33 - 0.27	29%	7%	0%	0,0,0,0,0,0,0,0,0,0	35%	'+175	0
Brandon Saad	STL	'+125	A	g	0.5	0.3	0.39 - 0.15	0.36 - 0.23	28%	20%	40%	1,0,1,0,0,0,0,0,0,0	26%	'+270	0
Evgeni Malkin	PIT	'+115	H	g	0.5	0.33	0.36 - 0.31	0.24 - 0.43	28%	13%	20%	0,0,1,0,0,0,0,0,1,0	40%	'+215	0
Wyatt Johnston	DAL	'+120	A	g	0.5	0.28	0.31 - 0.21	0.34 - 0.22	28%	47%	20%	0,0,0,0,1,1,1,1,1,0	0%	'+370	0
Thomas Novak	NSH	-145	H	g	0.5	0.33	0.53 - 0.05	0.45 - 0.19	28%	27%	0%	0,0,0,0,0,1,0,0,0,1	4%	'+170	0
Joe Pavelski	DAL	'+120	A	g	0.5	0.31	0.43 - 0.19	0.39 - 0.22	27%	60%	80%	1,1,0,1,1,1,0,0,1,1	28%	'+270	0
Aleksander Barkov	FLA	-225	A	g	0.5	0.32	0.44 - 0.16	0.16 - 0.48	27%	20%	20%	0,0,0,2,0,0,0,1,0,0	42%	'+135	0
Bowen Byram	COL	-140	H	g	0.5	0.28	0.34 - 0.21	0.42 - 0.12	25%	33%	60%	1,1,1,0,0,0,1,0,0,1	6%	'+450	0
John Leonard	NSH	-145	H	g	0.5	0.25	0.41 - 0.0	0.25 - 0	25%	25%	25%	0,0,0,1	0%	'+320	0
Cale Makar	COL	-140	H	g	0.5	0.29	0.4 - 0.15	0.21 - 0.37	25%	27%	20%	0,0,0,1,0,1,0,0,1,0	32%	'+280	0
Brayden Schenn	STL	'+125	A	g	0.5	0.28	0.47 - 0.12	0.34 - 0.22	24%	20%	40%	0,0,0,2,1,0,0,1,0,0	28%	'+220	0
Johnny Gaudreau	CBJ	'+190	H	g	0.5	0.26	0.44 - 0.17	0.11 - 0.42	24%	20%	40%	0,1,0,1,0,0,0,0,2,0	36%	'+185	0
Robert Thomas	STL	'+125	A	g	0.5	0.24	0.38 - 0.13	0.24 - 0.25	23%	27%	20%	1,0,0,0,0,0,0,0,0,1	23%	'+310	0
