NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Joe Pavelski	DAL	-195	H	sog	1.5	2.26	68% - 73%	73% - 67%	70%	60%	60%	6,0,2,1,2,0,2,2,2,2	66%	-185	'+150
Max Domi	DAL	-195	H	sog	1.5	2.2	74% - 58%	67% - 64%	66%	47%	40%	1,2,1,1,2,0,5,3,3,2	52%	-130	'+100
Daniel Sprong	SEA	'+165	A	sog	1.5	2.2	67% - 59%	73% - 54%	64%	47%	60%	5,2,1,1,4,1,1,1,4,3	67%	-160	'+130
Jordan Eberle	SEA	'+165	A	sog	1.5	2.18	59% - 69%	65% - 61%	63%	67%	80%	3,3,1,2,3,3,3,1,1,2	62%	-175	'+140
Carter Verhaeghe	FLA	'+160	A	sog	2.5	3.33	74% - 51%	54% - 72%	63%	40%	40%	1,4,2,3,2,3,2,2,2,2	35%	-135	'+105
Sam Bennett	FLA	'+160	A	sog	2.5	3.09	58% - 66%	60% - 63%	61%	60%	60%	4,1,1,3,5,3,7,2,2,1	64%	-150	'+120
Mason Marchment	DAL	-195	H	sog	1.5	2.07	67% - 55%	64% - 59%	61%	47%	40%	2,1,2,1,0,0,1,0,1,2	60%	-140	'+110
Anton Lundell	FLA	'+160	A	sog	1.5	2.05	47% - 76%	71% - 50%	60%	60%	60%	1,2,2,1,2,2,2,3,2,1	55%	-145	'+115
Wyatt Johnston	DAL	-195	H	sog	1.5	2.06	55% - 63%	55% - 62%	58%	47%	80%	3,3,2,2,1,5,7,1,5,1	0%	-190	'+155
Brandon Montour	FLA	'+160	A	sog	2.5	3.06	54% - 62%	47% - 70%	58%	53%	60%	5,6,2,0,6,4,2,2,6,4	48%	-135	'+105
Vince Dunn	SEA	'+165	A	sog	1.5	1.87	52% - 67%	53% - 64%	58%	60%	60%	3,1,3,3,1,2,1,3,2,1	45%	-175	'+140
Matty Beniers	SEA	'+165	A	sog	1.5	1.88	54% - 61%	54% - 60%	57%	53%	60%	4,3,1,1,2,3,2,1,2,0	60%	-145	'+115
Jason Robertson	DAL	-195	H	sog	3.5	3.8	61% - 50%	48% - 64%	56%	53%	40%	3,4,4,0,3,4,7,4,3,2	31%	'+105	-135
Miro Heiskanen	DAL	-195	H	sog	2.5	2.57	48% - 67%	49% - 63%	56%	20%	20%	0,3,2,1,2,4,3,2,1,1	44%	'+115	-145
Aleksander Barkov	FLA	'+160	A	sog	2.5	3.07	58% - 52%	42% - 68%	55%	53%	60%	4,4,2,2,7,3,1,0,5,2	66%	-140	'+110
Michael Bunting	TOR	-190	H	sog	1.5	2.09	55% - 56%	52% - 58%	55%	60%	40%	2,1,1,3,0,4,6,3,3,5	62%	-165	'+135
Aaron Ekblad	FLA	'+160	A	sog	2.5	2.96	54% - 57%	42% - 68%	55%	47%	20%	2,3,2,0,0,2,4,4,3,3	56%	-115	-115
Gustav Forsling	FLA	'+160	A	sog	2.5	2.5	55% - 51%	52% - 55%	53%	53%	40%	1,0,0,3,4,2,1,3,2,3	32%	'+135	-165
Matthew Tkachuk	FLA	'+160	A	sog	3.5	4.0	56% - 50%	38% - 69%	53%	40%	40%	3,1,4,2,6,4,2,3,3,8	44%	-120	-110
Yanni Gourde	SEA	'+165	A	sog	1.5	1.72	53% - 47%	51% - 50%	51%	33%	20%	1,1,1,3,1,0,2,3,1,1	55%	-135	'+105
Sam Reinhart	FLA	'+160	A	sog	2.5	2.72	51% - 49%	41% - 59%	50%	40%	40%	2,4,4,2,2,3,0,1,3,2	42%	'+105	-135
Roope Hintz	DAL	-195	H	sog	2.5	2.55	49% - 46%	51% - 44%	48%	47%	40%	5,4,2,2,0,4,3,2,3,2	55%	-105	-125
Mitchell Marner	TOR	-190	H	sog	2.5	2.45	49% - 44%	47% - 48%	47%	53%	40%	1,3,2,3,2,3,3,1,1,5	51%	-135	'+105
Jaden Schwartz	SEA	'+165	A	sog	2.5	2.51	42% - 50%	45% - 46%	46%	47%	80%	3,1,4,4,11,4,3,1,1,1	51%	-130	'+100
William Nylander	TOR	-190	H	sog	3.5	3.63	41% - 54%	36% - 56%	46%	53%	60%	7,3,4,3,7,2,4,6,5,3	33%	-110	-120
Oliver Bjorkstrand	SEA	'+165	A	sog	2.5	2.51	48% - 41%	44% - 45%	45%	47%	80%	5,6,2,3,4,2,1,2,1,3	36%	-135	'+105
Auston Matthews	TOR	-190	H	sog	4.5	4.4	44% - 45%	39% - 50%	44%	40%	60%	6,3,3,7,5,3,2,3,4,4	41%	-120	-110
Tyler Seguin	DAL	-195	H	sog	2.5	2.57	44% - 43%	44% - 43%	43%	53%	60%	2,2,4,6,3,3,4,4,4,1	38%	-105	-125
John Tavares	TOR	-190	H	sog	3.5	3.47	44% - 40%	38% - 47%	43%	53%	40%	5,1,5,3,1,6,4,3,3,5	29%	'+115	-145
Jamie Benn	DAL	-195	H	sog	2.5	2.35	37% - 42%	27% - 51%	39%	33%	40%	3,2,3,2,2,3,4,3,1,2	30%	'+135	-165
Eeli Tolvanen	SEA	'+165	A	sog	2.5	2.05	45% - 26%	39% - 36%	38%	40%	60%	3,3,1,5,0,1,1,4,1,1	36%	'+150	-185
Morgan Rielly	TOR	-190	H	sog	2.5	1.96	35% - 31%	21% - 45%	33%	20%	40%	3,2,3,1,2,2,2,0,0,1	49%	'+140	-175
