NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jake Ferguson	'+170	A	DAL	SF	20th	rec_yds	3.5	18.9	16.4 - 22.0	18.83 - 15.83	91%	100%	34,4,7,24,-1,57,15,1,7,40,7,13	0%	-130	'+100
Josh Allen	-240	H	BUF	CIN	4th	pass_td	1.5	2.2	2.5 - 1.0	1.88 - 2.56	71%	100%	3,3,2,4,1,2,2,1,1,0,2,3,4,1,2,4,3	76%	-185	'+150
Bj Hill	'+200	A	CIN	BUF	8th	tackles_combined	3.5	4.3	4.38 - 4.0	4.78 - 3.75	71%	100%	5,4,4,7,3,4,7,2,4,5,3,6,3,4,4,5,3	50%	-115	-115
Brock Purdy	-200	H	SF	DAL	15th	pass_td	1.5	1.6	1.78 - 0.0	1.0 - 2.0	70%	100%	3,3,2,2,2,2,2,0,0,0	0%	-125	-105
Brandon Aiyuk	-200	H	SF	DAL	8th	rec_yds	52.5	60.4	60.29 - 61.0	55.12 - 64.7	67%	100%	73,59,101,81,19,57,46,65,20,84,81,82,83,58,37,39,63,40	44%	-120	-110
Josh Allen	-240	H	BUF	CIN	13th	pass_int	0.5	0.9	0.86 - 1.33	1.0 - 0.89	59%	100%	2,1,2,0,0,0,1,0,2,2,2,0,1,1,0,0,2	59%	-155	'+125
Jamarr Chase	'+200	A	CIN	BUF	21st	rec	7.5	7.4	7.4 - 7.33	6.67 - 8.0	46%	100%	9,8,8,7,10,7,8,7,7,4,6,5,10	12%	-105	-125
James Cook	-240	H	BUF	CIN	11th	rush_att	8.5	5.9	6.5 - 3.33	4.38 - 7.33	35%	100%	12,9,11,5,4,14,2,11,5,4,5,2,4,0,1,11,1	0%	-120	-110
Ezekiel Elliott	'+170	A	DAL	SF	2nd	rush_att	10.5	15.2	16.42 - 11.75	15.12 - 15.38	88%	67%	13,8,19,16,16,15,17,16,15,15,13,22,19,15,15,10	71%	-115	-115
Elijah Mitchell	-200	H	SF	DAL	16th	rush_yds	27.5	46.8	48.0 - 41.0	50.0 - 45.25	83%	67%	2,55,35,59,89,41	100%	'+100	-130
Dak Prescott	'+170	A	DAL	SF	2nd	pass_int	0.5	1.2	1.0 - 1.5	1.17 - 1.14	77%	67%	0,1,2,1,2,2,1,2,0,2,1,0,1	50%	-165	'+135
Devin Singletary	-240	H	BUF	CIN	10th	rush_yds	37.5	51.0	55.93 - 28.0	56.0 - 46.56	76%	67%	48,29,106,42,39,51,72,86,47,24,67,85,42,49,13,19,48	59%	-120	-110
Taron Johnson	-240	H	BUF	CIN	19th	tackles_combined	4.5	5.7	5.79 - 5.33	5.0 - 6.33	71%	67%	7,8,3,4,8,4,3,8,5,5,7,6,5,4,6,5,9	38%	-140	'+110
