EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
11.3	-	130 PB	england @ italy	1h_home_corners	o 1.5	-	-	-115/-130	-	130/-180	-	-	-	-
10.6	-	130 DK	san marino @ denmark	away_corners	o 0.5	-	'+130/-175	-	-	-	-	-107/-124	-	-
9.2	-	150 FD	england @ italy	home_corners	u 2.5	-205/150	-	-	-	-150/105	-	-159/108	-	-
8.4	-	105 MGM	england @ italy	2h_home_corners	u 1.5	-	-	-155/105	-	-105/-135	-	-	-	-
8.3	-	-105 PB	england @ italy	2h_home_corners	o 1.5	-	-	-155/105	-	-105/-135	-	-	-	-
7.8	-	106 FD	uruguay @ brazil	away_corners	o 3.5	106/-140	-	-135/-110	-	-	-	-	-	-
7.5	-	115 PB	serbia @ montenegro	2h_home_corners	o 1.5	-	-	-120/-120	-	115/-160	-	-	-	-
5.5	-	-130 MGM	england @ italy	1h_home_corners	u 1.5	-	-	-115/-130	-	130/-180	-	-	-	-
5.2	-	340 PB	england @ italy	home_corners	o 4.5	250/-370	-	-	-	340/-550	-	-	-	-
5.2	-	155 PB	england @ italy	home_corners	o 3.5	116/-154	'+125/-170	-105/-145	-	155/-230	-	138/-210	-	-
4.4	-	-120 MGM	serbia @ montenegro	2h_home_corners	u 1.5	-	-	-120/-120	-	115/-160	-	-	-	-
4.2	-	-110 MGM	uruguay @ brazil	away_corners	u 3.5	106/-140	-	-135/-110	-	-	-	-	-	-
3.8	-	165 MGM	serbia @ montenegro	2h_corners	u 3.5	-	-	-250/165	-	-180/130	-	-	-	-
3.7	-	205 FD	guyana @ puerto rico	total	o 3.5	205/-280	-	160/-225	-	-	-	-	-	-
3.1	3.1	110 BV	haverfordwest @ penybont	1h_total	o 1.0	-	-	-	'+110/-145	-	-106/-114	-	0.0 - 0.7 - 0.7	0.4 - 0.6 - 1.0
2.8	-	115 PB	serbia @ montenegro	2h_corners	o 4.5	-	-110/-125	-110/-135	-	115/-160	-	-	-	-
2.6	-	125 MGM	serbia @ montenegro	home_corners	u 2.5	-158/118	-125/-110	-190/125	-	-125/-115	-	-150/112	-	-
2.4	-	-158 FD	san marino @ denmark	home_corners	o 9.5	-158/118	-	-	-	-	-	-205/150	-	-
2.1	-	130 MGM	serbia @ montenegro	1h_corners	u 3.5	-	-140/+100	-190/130	-	-155/110	-	-	-	-
2.1	-	-115 DK	lithuania @ hungary	away_corners	u 2.5	108/-142	-115/-115	110/-165	-	-105/-135	-	104/-137	-	-
2.0	-	-145 MGM	england @ italy	home_corners	u 3.5	116/-154	'+125/-170	-105/-145	-	155/-230	-	138/-210	-	-
1.8	-	-180 PB	serbia @ montenegro	2h_corners	o 3.5	-	-	-250/165	-	-180/130	-	-	-	-
1.5	-	140 PB	serbia @ montenegro	1h_home_corners	o 1.5	-	-	110/-165	-	140/-200	-	-	-	-
1.5	-	540 FD	guyana @ puerto rico	total	o 4.5	540/-950	-	360/-650	-	-	-	-	-	-
1.3	1.3	-165 BV	haverfordwest @ penybont	total	o 2.0	-	-	-	-165/+125	-	-205/154	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
1.2	-	190 PB	serbia @ montenegro	home_corners	o 3.5	148/-200	-	-	-	190/-300	-	165/-230	-	-
0.8	-	-125 PB	serbia @ montenegro	home_corners	o 2.5	-158/118	-125/-110	-190/125	-	-125/-115	-	-150/112	-	-
0.8	-	-750 MGM	san marino @ denmark	1h_total	o 0.5	-	-	-750/450	-	-	-	-1667/750	-	-
0.7	0.7	-115 BV	haverfordwest @ penybont	total	o 2.25	-	-	-	-115/-115	-	-132/105	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
0.6	-	-110 DK	serbia @ montenegro	away_corners	u 5.5	-102/-132	-125/-110	-115/-130	-	-105/-135	-	100/-134	-	-
0.5	-	-210 FD	malta @ ukraine	away_corners	u 3.5	154/-210	-	-	-	190/-300	-	188/-265	-	-
0.5	-	115 PB	lithuania @ hungary	away_total	o 0.5	-102/-125	-105/-125	100/-135	-	115/-150	-	104/-136	-	-
0.4	-	-152 FD	san marino @ denmark	corners	o 10.5	-152/114	-	-210/138	-	-	-	-175/130	-	-
0.4	-	135 PB	northern ireland @ slovenia	away_corners	o 4.5	116/-156	'+105/-140	110/-165	-	135/-190	-	123/-165	-	-
0.3	-0.6	-138 FD	uruguay @ brazil	corners	o 7.5	-138/106	-	-185/120	-	-	-156/123	-	-	-
0.3	-	-106 FD	san marino @ denmark	home_corners	o 10.5	-106/-126	-125/-105	-	-	-	-	-121/-109	-	-
0.3	-	-105 DK	san marino @ denmark	1h_corners	o 5.5	-	-105/-125	-130/-115	-	-	-	-	-	-
0.2	-	-300 MGM	san marino @ denmark	total	u 6.5	-	'+275/-370	220/-300	-	-	-	290/-385	-	-
0.1	-	-200 FD	serbia @ montenegro	home_corners	u 3.5	148/-200	-	-	-	190/-300	-	165/-230	-	-
